year,variable,tech,carrier,sample,value
2040,final_energy_MWh,oil,oil,177,0
2040,final_energy_MWh,oil,oil,178,0
2040,final_energy_MWh,oil,oil,179,0
2040,final_energy_MWh,oil,oil,180,0
2040,final_energy_MWh,oil,oil,181,0
2040,final_energy_MWh,oil,oil,182,2.84867e+08
2040,final_energy_MWh,oil,oil,183,0
2040,final_energy_MWh,oil,oil,184,2.18665e+08
2040,final_energy_MWh,oil,oil,185,0
2040,final_energy_MWh,oil,oil,186,0
2040,final_energy_MWh,oil,oil,187,0
2040,final_energy_MWh,oil,oil,188,0
2040,final_energy_MWh,oil,oil,189,0
2040,final_energy_MWh,oil,oil,190,0
2040,final_energy_MWh,oil,oil,191,0
2040,final_energy_MWh,oil,oil,192,2.87052e+08
2040,final_energy_MWh,oil,oil,193,2.92279e+08
2040,final_energy_MWh,oil,oil,194,0
2040,final_energy_MWh,oil,oil,195,2.56722e+08
2040,final_energy_MWh,oil,oil,196,0
2040,final_energy_MWh,oil,oil,197,0
2040,final_energy_MWh,oil,oil,198,0
2040,final_energy_MWh,oil,oil,199,0
2050,final_energy_MWh,biomass,biomass,0,4.12795e+08
2050,final_energy_MWh,biomass,biomass,1,4.51971e+08
2050,final_energy_MWh,biomass,biomass,2,3.74206e+08
2050,final_energy_MWh,biomass,biomass,3,4.82529e+08
2050,final_energy_MWh,biomass,biomass,4,4.66027e+08
2050,final_energy_MWh,biomass,biomass,5,4.34053e+08
2050,final_energy_MWh,biomass,biomass,6,3.66037e+08
2050,final_energy_MWh,biomass,biomass,7,4.18942e+08
2050,final_energy_MWh,biomass,biomass,8,4.20626e+08
2050,final_energy_MWh,biomass,biomass,9,4.06416e+08
2050,final_energy_MWh,biomass,biomass,10,4.57354e+08
2050,final_energy_MWh,biomass,biomass,11,4.8651e+08
2050,final_energy_MWh,biomass,biomass,12,4.70866e+08
2050,final_energy_MWh,biomass,biomass,13,3.67673e+08
2050,final_energy_MWh,biomass,biomass,14,4.95967e+08
2050,final_energy_MWh,biomass,biomass,15,5.06935e+08
2050,final_energy_MWh,biomass,biomass,16,3.72159e+08
2050,final_energy_MWh,biomass,biomass,17,5.39071e+08
2050,final_energy_MWh,biomass,biomass,18,4.03946e+08
2050,final_energy_MWh,biomass,biomass,19,5.02812e+08
2050,final_energy_MWh,biomass,biomass,20,3.88909e+08
2050,final_energy_MWh,biomass,biomass,21,4.93073e+08
2050,final_energy_MWh,biomass,biomass,22,4.76678e+08
2050,final_energy_MWh,biomass,biomass,23,4.10792e+08
2050,final_energy_MWh,biomass,biomass,24,4.6629e+08
2050,final_energy_MWh,biomass,biomass,25,3.74438e+08
2050,final_energy_MWh,biomass,biomass,26,3.22073e+08
2050,final_energy_MWh,biomass,biomass,27,4.86176e+08
2050,final_energy_MWh,biomass,biomass,28,4.43236e+08
2050,final_energy_MWh,biomass,biomass,29,3.961e+08
2050,final_energy_MWh,biomass,biomass,30,4.39931e+08
2050,final_energy_MWh,biomass,biomass,31,2.45227e+08
2050,final_energy_MWh,biomass,biomass,32,3.75504e+08
2050,final_energy_MWh,biomass,biomass,33,4.18888e+08
2050,final_energy_MWh,biomass,biomass,34,3.54145e+08
2050,final_energy_MWh,biomass,biomass,35,4.65041e+08
2050,final_energy_MWh,biomass,biomass,36,2.43142e+08
2050,final_energy_MWh,biomass,biomass,37,4.56823e+08
2050,final_energy_MWh,biomass,biomass,38,4.56184e+08
2050,final_energy_MWh,biomass,biomass,39,4.45441e+08
2050,final_energy_MWh,biomass,biomass,40,3.9754e+08
2050,final_energy_MWh,biomass,biomass,41,4.72797e+08
2050,final_energy_MWh,biomass,biomass,42,4.61e+08
2050,final_energy_MWh,biomass,biomass,43,4.62642e+08
2050,final_energy_MWh,biomass,biomass,44,4.33604e+08
2050,final_energy_MWh,biomass,biomass,45,4.35983e+08
2050,final_energy_MWh,biomass,biomass,46,5.16808e+08
2050,final_energy_MWh,biomass,biomass,47,3.93795e+08
2050,final_energy_MWh,biomass,biomass,48,4.66545e+08
2050,final_energy_MWh,biomass,biomass,49,4.08595e+08
2050,final_energy_MWh,biomass,biomass,50,4.86904e+08
2050,final_energy_MWh,biomass,biomass,51,4.68177e+08
2050,final_energy_MWh,biomass,biomass,52,3.2108e+08
2050,final_energy_MWh,biomass,biomass,53,4.39966e+08
2050,final_energy_MWh,biomass,biomass,54,4.20881e+08
2050,final_energy_MWh,biomass,biomass,55,4.92654e+08
2050,final_energy_MWh,biomass,biomass,56,4.45607e+08
2050,final_energy_MWh,biomass,biomass,57,3.92138e+08
2050,final_energy_MWh,biomass,biomass,58,5.0947e+08
2050,final_energy_MWh,biomass,biomass,59,4.04325e+08
2050,final_energy_MWh,biomass,biomass,60,3.17632e+08
