country,basis,year,peak_gw,peaker_cap_gw,short_hours,peaker_energy_gwh,peaker_flh,unserved_gwh,lol_hours
EL,hp_elec,2025,2.07,0.0,0,0.0,0.0,0.0,0
EL,hp_elec,2030,2.6,0.0,0,0.0,0.0,0.0,0
EL,hp_elec,2040,4.06,0.0,0,0.0,0.0,0.0,0
EL,hp_elec,2050,5.02,0.0,0,0.0,0.0,0.0,0
EL,thermal,2025,34.73,9.52,54,258.8,27.0,0.0,0
EL,thermal,2030,34.14,8.93,54,231.1,26.0,0.0,0
EL,thermal,2040,33.08,7.87,42,189.2,24.0,0.0,0
EL,thermal,2050,32.07,6.86,42,151.0,22.0,0.0,0
ES,total_elec,2025,41.81,0.0,0,0.0,0.0,0.0,0
ES,total_elec,2030,46.77,0.0,0,0.0,0.0,0.0,0
ES,total_elec,2040,55.82,0.0,0,0.0,0.0,0.0,0
ES,total_elec,2050,63.04,0.0,0,0.0,0.0,0.0,0
ES,hp_elec,2025,5.41,0.0,0,0.0,0.0,0.0,0
ES,hp_elec,2030,6.88,0.0,0,0.0,0.0,0.0,0
ES,hp_elec,2040,10.98,0.0,0,0.0,0.0,0.0,0
ES,hp_elec,2050,12.92,0.0,0,0.0,0.0,0.0,0
ES,thermal,2025,92.17,25.22,54,684.6,27.0,0.0,0
ES,thermal,2030,89.86,22.91,42,578.0,25.0,0.0,0
ES,thermal,2040,84.97,18.02,42,393.5,22.0,0.0,0
ES,thermal,2050,79.27,12.32,36,203.7,17.0,0.0,0
FI,total_elec,2025,15.6,6.18,2140,4315.1,698.0,1.2,3
FI,total_elec,2030,17.65,7.89,2934,7163.9,908.0,1.9,3
FI,total_elec,2040,21.06,10.35,2293,7637.5,738.0,2.3,3
FI,total_elec,2050,23.67,13.57,2437,10694.9,788.0,1.5,3
FI,hp_elec,2025,2.88,0.0,0,0.0,0.0,0.0,0
FI,hp_elec,2030,3.76,0.0,0,0.0,0.0,0.0,0
FI,hp_elec,2040,5.46,0.0,0,0.0,0.0,0.0,0
FI,hp_elec,2050,6.22,0.0,0,0.0,0.0,0.0,0
FI,thermal,2025,28.6,9.84,97,343.8,35.0,0.0,0
FI,thermal,2030,29.31,10.55,103,399.2,38.0,0.0,0
FI,thermal,2040,30.61,11.85,220,563.0,47.0,0.0,0
FI,thermal,2050,31.98,13.22,371,821.7,62.0,0.0,0
FR,total_elec,2025,91.56,0.0,0,0.0,0.0,1.2,2
FR,total_elec,2030,105.27,17.08,93,508.5,30.0,6.7,3
FR,total_elec,2040,118.89,31.64,162,1460.9,46.0,5.6,3
FR,total_elec,2050,133.37,37.16,222,2654.0,71.0,4.8,3
FR,hp_elec,2025,23.86,0.0,0,0.0,0.0,0.0,0
FR,hp_elec,2030,31.66,0.0,0,0.0,0.0,0.0,0
