country,scenario,year,energy_gwh,clearing_eur_mwh,carbon_eur_t,dh_avail,gas_var_eur_mwh,h2_var_eur_mwh,revenue_meur,gas_profit_meur,h2_profit_meur,gas_profit_chp_lo_meur,gas_profit_chp_hi_meur,h2_profit_chp_lo_meur,h2_profit_chp_hi_meur,gas_syscost_meur,h2_syscost_meur,cum_gas_profit_meur,cum_h2_profit_meur,cum_gas_profit_chp_lo_meur,cum_gas_profit_chp_hi_meur,cum_h2_profit_chp_lo_meur,cum_h2_profit_chp_hi_meur,cum_gas_syscost_meur,cum_h2_syscost_meur
HU,CURRENT_POLICIES,2040,233.5,199.9,130.0,0.176,139.9,552.5,46.67,-201.29,-369.4,-199.1,-196.9,-367.33,-365.26,247.95,416.07,-2787.1499999999996,-6617.6,-2733.825,-2680.425,-6566.174999999999,-6514.65,3833.525,7664.174999999999
HU,CURRENT_POLICIES,2050,107.1,202.1,150.0,0.176,142.1,472.1,21.65,-239.96,-357.43,-238.99,-238.02,-356.55,-355.67,261.61,379.08,-3986.95,-8404.75,-3928.7749999999996,-3870.5250000000005,-8348.925,-8293.0,5141.575000000001,9559.574999999999
HU,STATED_POLICIES,2025,5.6,186.1,55.0,0.176,126.1,757.8,1.04,-12.79,-20.7,-12.73,-12.68,-20.65,-20.59,13.83,21.75,-31.974999999999998,-51.75,-31.825000000000003,-31.7,-51.625,-51.475,34.575,54.375
HU,STATED_POLICIES,2030,427.7,206.0,122.0,0.176,146.0,472.9,88.11,-98.97,-280.35,-94.8,-90.63,-276.26,-272.17,187.07,368.46,-774.25,-2154.375,-742.825,-711.425,-2123.575,-2092.75,1437.6,2817.825
HU,STATED_POLICIES,2040,233.5,224.4,180.0,0.176,164.4,358.2,52.39,-201.29,-318.32,-199.1,-196.9,-316.25,-314.18,253.68,370.71,-2787.1499999999996,-5337.575,-2733.825,-2680.425,-5286.075,-5234.55,3974.4,6524.924999999999
HU,STATED_POLICIES,2050,107.1,226.2,200.0,0.176,166.2,318.0,24.22,-239.96,-338.34,-238.99,-238.02,-337.46,-336.58,264.18,362.57,-3986.95,-7029.275,-3928.7749999999996,-3870.5250000000005,-6973.375,-6917.45,5295.3,8337.775
HU,NET_ZERO,2025,5.6,193.7,70.0,0.176,133.7,757.8,1.08,-12.79,-20.66,-12.73,-12.68,-20.61,-20.55,13.87,21.75,-31.974999999999998,-51.65,-31.825000000000003,-31.7,-51.525,-51.375,34.675,54.375
HU,NET_ZERO,2030,427.7,245.0,200.0,0.176,185.0,472.9,104.79,-98.97,-263.67,-94.8,-90.63,-259.58,-255.49,203.75,368.46,-774.25,-2029.1750000000002,-742.825,-711.425,-1998.375,-1967.5500000000002,1562.8,2817.825
HU,NET_ZERO,2040,233.5,283.2,300.0,0.176,223.2,358.2,66.13,-201.29,-304.58,-199.1,-196.9,-302.51,-300.44,267.42,370.71,-2787.1499999999996,-5074.975,-2733.825,-2680.425,-5023.475,-4971.950000000001,4237.0,6524.924999999999
HU,NET_ZERO,2050,107.1,298.3,350.0,0.176,238.3,318.0,31.95,-239.96,-330.62,-238.99,-238.02,-329.74,-328.86,271.91,362.57,-3986.95,-6728.075000000001,-3928.7749999999996,-3870.5250000000005,-6672.175,-6616.250000000001,5596.55,8337.775
HU,H2_PUSH,2025,5.6,193.7,70.0,0.176,133.7,757.8,1.08,-12.79,-20.66,-12.73,-12.68,-20.61,-20.55,13.87,21.75,-31.974999999999998,-51.65,-31.825000000000003,-31.7,-51.525,-51.375,34.675,54.375
HU,H2_PUSH,2030,427.7,245.0,200.0,0.176,185.0,445.3,104.79,-98.97,-251.84,-94.8,-90.63,-247.9,-243.96,203.75,356.62,-774.25,-1940.45,-742.825,-711.425,-1910.775,-1881.075,1562.8,2729.025
HU,H2_PUSH,2040,233.5,283.2,300.0,0.176,223.2,302.5,66.13,-201.29,-291.56,-199.1,-196.9,-289.71,-287.86,267.42,357.69,-2787.1499999999996,-4856.05,-2733.825,-2680.425,-4807.875,-4759.675,4237.0,6305.925
HU,H2_PUSH,2050,107.1,298.3,350.0,0.176,238.3,249.4,31.95,-239.96,-323.27,-238.99,-238.02,-322.54,-321.81,271.91,355.22,-3986.95,-6472.4,-3928.7749999999996,-3870.5250000000005,-6420.575,-6368.725,5596.55,8082.025000000001
IE,CURRENT_POLICIES,2025,0.0,174.8,30.0,0.186,114.8,601.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IE,CURRENT_POLICIES,2030,4.7,181.3,70.0,0.186,121.3,549.3,0.86,-18.56,-26.87,-18.51,-18.46,-26.82,-26.77,19.42,27.73,-139.2,-201.525,-138.82500000000002,-138.45000000000002,-201.15,-200.775,145.65,207.975
IE,CURRENT_POLICIES,2040,21.9,201.2,130.0,0.186,141.2,450.0,4.41,-82.31,-116.96,-82.09,-81.88,-116.75,-116.55,86.72,121.37,-962.3,-1371.125,-959.7250000000001,-957.25,-1368.65,-1366.275,1012.85,1421.675
IE,CURRENT_POLICIES,2050,70.6,203.5,150.0,0.186,143.5,387.7,14.36,-126.84,-187.78,-126.17,-125.5,-187.17,-186.56,141.21,202.14,-1596.5,-2310.025,-1590.5750000000003,-1584.75,-2304.5,-2299.075,1718.9,2432.375
IE,STATED_POLICIES,2025,0.0,187.4,55.0,0.186,127.4,601.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IE,STATED_POLICIES,2030,4.7,207.3,122.0,0.186,147.3,404.9,0.98,-18.56,-26.06,-18.51,-18.46,-26.01,-25.96,19.54,27.04,-139.2,-195.45,-138.82500000000002,-138.45000000000002,-195.07500000000002,-194.70000000000002,146.54999999999998,202.79999999999998
IE,STATED_POLICIES,2040,21.9,225.7,180.0,0.186,165.7,318.8,4.95,-82.31,-113.54,-82.09,-81.88,-113.34,-113.13,87.26,118.49,-962.3,-1330.8500000000001,-959.7250000000001,-957.25,-1328.4750000000001,-1326.0,1019.15,1387.6999999999998
IE,STATED_POLICIES,2050,70.6,227.5,200.0,0.186,167.5,283.6,16.06,-126.84,-178.73,-126.17,-125.5,-178.12,-177.51,142.91,194.79,-1596.5,-2224.5,-1590.5750000000003,-1584.75,-2219.0750000000003,-2213.55,1733.6999999999998,2361.6499999999996
IE,NET_ZERO,2025,0.0,195.0,70.0,0.186,135.0,601.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IE,NET_ZERO,2030,4.7,246.3,200.0,0.186,186.3,404.9,1.17,-18.56,-25.88,-18.51,-18.46,-25.83,-25.78,19.73,27.04,-139.2,-194.1,-138.82500000000002,-138.45000000000002,-193.725,-193.35000000000002,147.975,202.79999999999998
IE,NET_ZERO,2040,21.9,284.6,300.0,0.186,224.6,318.8,6.24,-82.31,-112.25,-82.09,-81.88,-112.05,-111.84,88.55,118.49,-962.3,-1316.6,-959.7250000000001,-957.25,-1314.225,-1311.75,1033.475,1387.6999999999998
IE,NET_ZERO,2050,70.6,299.7,350.0,0.186,239.7,283.6,21.16,-126.84,-173.64,-126.17,-125.5,-173.03,-172.41,148.0,194.79,-1596.5,-2184.7999999999997,-1590.5750000000003,-1584.75,-2179.375,-2173.8,1773.475,2361.6499999999996
IE,H2_PUSH,2025,0.0,195.0,70.0,0.186,135.0,601.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IE,H2_PUSH,2030,4.7,246.3,200.0,0.186,186.3,384.6,1.17,-18.56,-25.78,-18.51,-18.46,-25.73,-25.69,19.73,26.95,-139.2,-193.35000000000002,-138.82500000000002,-138.45000000000002,-192.975,-192.675,147.975,202.125
IE,H2_PUSH,2040,21.9,284.6,300.0,0.186,224.6,277.1,6.24,-82.31,-111.34,-82.09,-81.88,-111.15,-110.97,88.55,117.58,-962.3,-1306.75,-959.7250000000001,-957.25,-1304.475,-1302.375,1033.475,1377.925
IE,H2_PUSH,2050,70.6,291.7,350.0,0.186,239.7,231.7,20.59,-127.41,-170.54,-126.73,-126.06,-170.03,-169.52,148.0,191.13,-1599.35,-2159.45,-1593.375,-1587.55,-2154.625,-2149.975,1773.475,2333.575
IT,CURRENT_POLICIES,2025,0.0,174.6,30.0,0.197,114.6,767.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,CURRENT_POLICIES,2030,0.0,181.1,70.0,0.197,121.1,695.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,CURRENT_POLICIES,2040,0.0,201.0,130.0,0.197,141.0,559.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,CURRENT_POLICIES,2050,46.5,203.2,150.0,0.197,143.2,477.9,9.44,-455.62,-623.97,-455.15,-454.68,-623.54,-623.11,465.06,633.41,-2278.1,-3119.8500000000004,-2275.75,-2273.4,-3117.7,-3115.55,2325.3,3167.0499999999997
IT,STATED_POLICIES,2025,0.0,187.2,55.0,0.197,127.2,767.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,STATED_POLICIES,2030,0.0,207.1,122.0,0.197,147.1,477.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,STATED_POLICIES,2040,0.0,225.5,180.0,0.197,165.5,361.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,STATED_POLICIES,2050,46.5,227.3,200.0,0.197,167.3,321.0,10.56,-455.62,-615.56,-455.15,-454.68,-615.13,-614.71,466.18,626.12,-2278.1,-3077.7999999999997,-2275.75,-2273.4,-3075.65,-3073.55,2330.9,3130.6
IT,NET_ZERO,2025,0.0,194.8,70.0,0.197,134.8,767.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,NET_ZERO,2030,0.0,246.1,200.0,0.197,186.1,477.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,NET_ZERO,2040,0.0,284.3,300.0,0.197,224.3,361.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,NET_ZERO,2050,46.5,299.4,350.0,0.197,239.4,321.0,13.91,-455.62,-612.21,-455.15,-454.68,-611.78,-611.36,469.53,626.12,-2278.1,-3061.05,-2275.75,-2273.4,-3058.8999999999996,-3056.8,2347.6499999999996,3130.6
IT,H2_PUSH,2025,0.0,194.8,70.0,0.197,134.8,767.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,H2_PUSH,2030,0.0,246.1,200.0,0.197,186.1,449.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,H2_PUSH,2040,0.0,284.3,300.0,0.197,224.3,305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,H2_PUSH,2050,46.5,299.4,350.0,0.197,239.4,251.5,13.91,-455.62,-608.98,-455.15,-454.68,-608.63,-608.27,469.53,622.89,-2278.1,-3044.9,-2275.75,-2273.4,-3043.15,-3041.35,2347.6499999999996,3114.45
LT,CURRENT_POLICIES,2025,1.0,173.6,30.0,0.156,113.6,630.5,0.18,-3.98,-5.85,-3.97,-3.96,-5.84,-5.83,4.15,6.03,-9.95,-14.625,-9.925,-9.9,-14.6,-14.575,10.375,15.075000000000001
LT,CURRENT_POLICIES,2030,37.4,180.2,70.0,0.156,120.2,574.4,6.74,-23.64,-49.24,-23.32,-22.99,-48.93,-48.61,30.37,55.98,-187.25,-383.925,-184.82500000000002,-182.325,-381.57500000000005,-379.15,238.15,434.92499999999995
LT,CURRENT_POLICIES,2040,19.8,200.0,130.0,0.156,140.0,468.5,3.96,-36.44,-55.48,-36.27,-36.11,-55.32,-55.17,40.4,59.43,-551.65,-938.7249999999999,-547.5250000000001,-543.425,-934.7750000000001,-930.85,642.15,1029.225
LT,CURRENT_POLICIES,2050,10.1,202.3,150.0,0.156,142.3,402.8,2.04,-45.8,-63.89,-45.72,-45.63,-63.82,-63.75,47.84,65.94,-780.65,-1258.175,-776.1250000000001,-771.5749999999999,-1253.875,-1249.6,881.35,1358.925
LT,STATED_POLICIES,2025,1.0,186.3,55.0,0.156,126.3,630.5,0.19,-3.98,-5.84,-3.97,-3.96,-5.83,-5.82,4.17,6.03,-9.95,-14.6,-9.925,-9.9,-14.575,-14.55,10.425,15.075000000000001
LT,STATED_POLICIES,2030,37.4,206.2,122.0,0.156,146.2,416.9,7.71,-23.64,-42.38,-23.32,-22.99,-42.07,-41.75,31.35,50.09,-187.25,-332.45000000000005,-184.82500000000002,-182.325,-330.09999999999997,-327.675,245.55,390.75
LT,STATED_POLICIES,2040,19.8,224.6,180.0,0.156,164.6,325.4,4.44,-36.44,-52.16,-36.27,-36.11,-52.01,-51.85,40.88,56.6,-551.65,-854.05,-547.5250000000001,-543.425,-850.2,-846.175,654.35,956.75
