year,variable,tech,carrier,sample,value
2030,co2_MtCO2,all,all,109,523.752
2030,co2_MtCO2,all,all,110,536.409
2030,co2_MtCO2,all,all,111,516.964
2030,co2_MtCO2,all,all,112,535.683
2030,co2_MtCO2,all,all,113,509.118
2030,co2_MtCO2,all,all,114,540.407
2030,co2_MtCO2,all,all,115,521.454
2030,co2_MtCO2,all,all,116,545.782
2030,co2_MtCO2,all,all,117,513.087
2030,co2_MtCO2,all,all,118,521.923
2030,co2_MtCO2,all,all,119,531.543
2030,co2_MtCO2,all,all,120,545.729
2030,co2_MtCO2,all,all,121,542.237
2030,co2_MtCO2,all,all,122,521.739
2030,co2_MtCO2,all,all,123,534.22
2030,co2_MtCO2,all,all,124,539.598
2030,co2_MtCO2,all,all,125,538.834
2030,co2_MtCO2,all,all,126,540.376
2030,co2_MtCO2,all,all,127,522.001
2030,co2_MtCO2,all,all,128,521.753
2030,co2_MtCO2,all,all,129,534.864
2030,co2_MtCO2,all,all,130,521.187
2030,co2_MtCO2,all,all,131,535.306
2030,co2_MtCO2,all,all,132,537.219
2030,co2_MtCO2,all,all,133,534.373
2030,co2_MtCO2,all,all,134,519.794
2030,co2_MtCO2,all,all,135,537.852
2030,co2_MtCO2,all,all,136,530.659
2030,co2_MtCO2,all,all,137,543.633
2030,co2_MtCO2,all,all,138,531.032
2030,co2_MtCO2,all,all,139,522.666
2030,co2_MtCO2,all,all,140,533.648
2030,co2_MtCO2,all,all,141,538.72
2030,co2_MtCO2,all,all,142,535.079
2030,co2_MtCO2,all,all,143,509.113
2030,co2_MtCO2,all,all,144,540.827
2030,co2_MtCO2,all,all,145,535.211
2030,co2_MtCO2,all,all,146,538.056
2030,co2_MtCO2,all,all,147,533.64
2030,co2_MtCO2,all,all,148,532.325
2030,co2_MtCO2,all,all,149,536.416
2030,co2_MtCO2,all,all,150,528.398
2030,co2_MtCO2,all,all,151,532.249
2030,co2_MtCO2,all,all,152,533.657
2030,co2_MtCO2,all,all,153,536.622
2030,co2_MtCO2,all,all,154,534.24
2030,co2_MtCO2,all,all,155,535.043
2030,co2_MtCO2,all,all,156,528.139
2030,co2_MtCO2,all,all,157,540.499
2030,co2_MtCO2,all,all,158,531.23
2030,co2_MtCO2,all,all,159,526.496
2030,co2_MtCO2,all,all,160,527.119
2030,co2_MtCO2,all,all,161,529.542
2030,co2_MtCO2,all,all,162,526.184
2030,co2_MtCO2,all,all,163,532.093
2030,co2_MtCO2,all,all,164,515.092
2030,co2_MtCO2,all,all,165,537.945
2030,co2_MtCO2,all,all,166,535.23
2030,co2_MtCO2,all,all,167,528.468
2030,co2_MtCO2,all,all,168,535.169
2030,co2_MtCO2,all,all,169,522.807
2030,co2_MtCO2,all,all,170,538.456
2030,co2_MtCO2,all,all,171,531.723
2030,co2_MtCO2,all,all,172,542.692
2030,co2_MtCO2,all,all,173,550.804
2030,co2_MtCO2,all,all,174,531.181
2030,co2_MtCO2,all,all,175,528.368
2030,co2_MtCO2,all,all,176,525.905
2030,co2_MtCO2,all,all,177,530.801
2030,co2_MtCO2,all,all,178,530.741
2030,co2_MtCO2,all,all,179,523.213
2030,co2_MtCO2,all,all,180,521.213
2030,co2_MtCO2,all,all,181,531.736
2030,co2_MtCO2,all,all,182,540.414
