country,year,tech,carrier,share,useful_heat_MWh,final_energy_MWh,co2_tCO2,variant,mode
CY,2040,h2_boiler,hydrogen,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
CY,2050,gas_boiler,gas,0.15614525,602420.421920823,640872.7892774714,129456.30343404923,COST_OPT_75,trajectory
CY,2050,oil_boiler,oil,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
CY,2050,biomass_boiler,biomass,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
CY,2050,resistance_heater,electricity,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
CY,2050,hp_air,electricity,0.14385475,555002.7246446146,117460.89410468032,2349.2178820936065,COST_OPT_75,trajectory
CY,2050,hp_ground,electricity,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
CY,2050,district_heat,district_heat,0.7,2700654.0086526875,2784179.3903635954,22273.435122908762,COST_OPT_75,trajectory
CY,2050,h2_boiler,hydrogen,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
CZ,2025,gas_boiler,gas,0.3503,27286627.836373612,29659378.083014794,5991194.372768989,COST_OPT_75,trajectory
CZ,2025,oil_boiler,oil,0.0609,4743807.123137748,5270896.803486386,1396787.6529238925,COST_OPT_75,trajectory
CZ,2025,biomass_boiler,biomass,0.1624,12650152.328367326,14375173.100417417,0.0,COST_OPT_75,trajectory
CZ,2025,resistance_heater,electricity,0.0508,3957067.353947415,4037823.830558587,1695886.0088346063,COST_OPT_75,trajectory
CZ,2025,hp_air,electricity,0.033,2570535.87953277,837580.9317473997,351783.9913339079,COST_OPT_75,trajectory
CZ,2025,hp_ground,electricity,0.0127,989266.8384868538,279928.3640313678,117569.91289317446,COST_OPT_75,trajectory
CZ,2025,district_heat,district_heat,0.3299,25697569.292662445,27050072.93964468,6762518.23491117,COST_OPT_75,trajectory
CZ,2025,h2_boiler,hydrogen,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
CZ,2030,gas_boiler,gas,0.24233229,18869774.359926224,20421833.72286388,4125210.4120185035,COST_OPT_75,trajectory
CZ,2030,oil_boiler,oil,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
CZ,2030,biomass_boiler,biomass,0.18,14016123.83057462,15855343.699745046,0.0,COST_OPT_75,trajectory
CZ,2030,resistance_heater,electricity,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
CZ,2030,hp_air,electricity,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
CZ,2030,hp_ground,electricity,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
CZ,2030,district_heat,district_heat,0.57766771,44981456.42380261,47150373.60985599,7544059.777576958,COST_OPT_75,trajectory
CZ,2030,h2_boiler,hydrogen,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
CZ,2040,gas_boiler,gas,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
CZ,2040,oil_boiler,oil,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
CZ,2040,biomass_boiler,biomass,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
CZ,2040,resistance_heater,electricity,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
CZ,2040,hp_air,electricity,0.34010643,26383103.660726592,8295008.382294722,829500.8382294723,COST_OPT_75,trajectory
CZ,2040,hp_ground,electricity,0.082225861,6378513.379930793,1672833.3018439007,167283.3301843901,COST_OPT_75,trajectory
CZ,2040,district_heat,district_heat,0.57766771,44811464.08900456,46581563.50208375,3493617.262656281,COST_OPT_75,trajectory
CZ,2040,h2_boiler,hydrogen,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
CZ,2050,gas_boiler,gas,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
CZ,2050,oil_boiler,oil,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
CZ,2050,biomass_boiler,biomass,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
CZ,2050,resistance_heater,electricity,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
CZ,2050,hp_air,electricity,0.34010643,26568858.419518925,8162475.7049213275,163249.51409842656,COST_OPT_75,trajectory
CZ,2050,hp_ground,electricity,0.082225861,6423422.395548483,1606257.1631779154,32125.143263558304,COST_OPT_75,trajectory
CZ,2050,district_heat,district_heat,0.57766771,45126966.87480362,46522646.262684144,1163066.1565671037,COST_OPT_75,trajectory
CZ,2050,h2_boiler,hydrogen,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
DE,2025,gas_boiler,gas,0.5075,388654601.34265304,422450653.6333185,85335032.03393035,COST_OPT_75,trajectory
DE,2025,oil_boiler,oil,0.2111,161664997.72105235,179627775.24561372,47601360.44008764,COST_OPT_75,trajectory
DE,2025,biomass_boiler,biomass,0.1106,84699899.32708853,96249885.59896424,0.0,COST_OPT_75,trajectory
DE,2025,resistance_heater,electricity,0.0251,19222129.051626783,19614417.399619166,6865046.089866708,COST_OPT_75,trajectory
DE,2025,hp_air,electricity,0.0452,34615148.73041954,10926498.967935462,3824274.638777411,COST_OPT_75,trajectory
DE,2025,hp_ground,electricity,0.005,3829109.3728340203,1049646.2096584486,367376.17338045704,COST_OPT_75,trajectory
DE,2025,district_heat,district_heat,0.0955,73135989.02112979,76985251.60118926,10777935.224166496,COST_OPT_75,trajectory
DE,2025,h2_boiler,hydrogen,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
DE,2030,gas_boiler,gas,0.4845,360825003.44168603,390503250.4780152,78881656.59655908,COST_OPT_75,trajectory
DE,2030,oil_boiler,oil,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
DE,2030,biomass_boiler,biomass,0.12,89368421.90506156,101095499.89260358,0.0,COST_OPT_75,trajectory
DE,2030,resistance_heater,electricity,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
DE,2030,hp_air,electricity,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
DE,2030,hp_ground,electricity,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
DE,2030,district_heat,district_heat,0.3955,294543423.86209875,308745727.3187618,27787115.458688565,COST_OPT_75,trajectory
DE,2030,h2_boiler,hydrogen,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
DE,2040,gas_boiler,gas,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
DE,2040,oil_boiler,oil,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
DE,2040,biomass_boiler,biomass,0.12,84294081.13120435,94500090.95426497,0.0,COST_OPT_75,trajectory
