country,year,peak_gw,firm_ccgt_cap_gw,firm_ccgt_energy_gwh,peaker_cap_gw,peaker_energy_gwh,peaker_flh,short_hours,unserved_gwh,lol_hours
PL,2025,28.18384651681897,4.0,34122.97292334891,20.920504946296184,62422.29734367487,2983.785405940991,7838,0.1796797683791631,3
PL,2030,34.0547243006952,12.0,59887.89413761586,17.206879149236702,10894.366073550678,633.1401516255754,2179,0.25300514926449935,3
PL,2040,45.07690461636365,13.0,47372.185222745495,22.504370928391154,5429.817600776415,241.2783551272808,785,4.440918296476504,3
PL,2050,50.81572265260054,14.0,36987.63121680911,22.047556285573428,1236.0297543106064,56.06198429888526,168,5.049091532081228,3
PT,2025,8.852454244725418,4.0,12337.056912844251,0.0,0.0,0.0,0,0.0,0
PT,2030,9.697561959836733,4.0,13566.392436247901,0.0,0.0,0.0,0,0.0,0
PT,2040,10.93530730336563,3.5,9228.356500063912,0.0,0.0,0.0,0,0.0,0
PT,2050,11.93743102564798,3.0,7342.993979716368,0.0,0.0,0.0,0,0.0,0
RO,2025,8.499590357713664,4.0,18500.646798348094,0.0,0.0,0.0,0,0.0,0
RO,2030,10.629037547933853,4.0,22564.44939278911,0.0,0.0,0.0,0,0.0,0
RO,2040,15.24386893128073,4.0,13141.038744171463,1.6984159028041494,10.644260469204458,6.267169573501036,8,2.55230039668276,3
RO,2050,17.963972037388615,4.0,8523.443727903192,2.802499261674864,4.696838894108457,1.6759465232834618,2,0.0,0
SE,2025,26.2336410797899,1.0,3900.0836585830407,3.018510941260491,134.31829643098567,44.49819763611527,108,1.2768745009956106,3
SE,2030,28.920554925973505,1.0,4074.8012311715383,5.8015029205549755,323.2487467258592,55.718104627781,190,2.0238265772747646,3
SE,2040,32.89869729279774,1.0,3002.026378093908,7.724915200900741,495.92599124560286,64.19824403868886,169,2.6807383759276036,3
SE,2050,36.03018390434154,1.0,3177.28686161524,10.017311924287357,784.375166718022,78.30196090991979,202,0.5469761663975881,3
