country,basis,year,peak_gw,firm_ccgt_cap_gw,firm_ccgt_energy_gwh,peaker_cap_gw,peaker_energy_gwh,peaker_flh,ocgt_energy_gwh,h2_energy_gwh,peaker_peak_out_gw,unserved_gwh,lol_hours,reserve_short_gw,objective_eur,status,n_repdays
HU,total_elec,2030,8.679879033749353,4.0,22313.58753782,2.499330391975306,480.47807957480995,192.2427227378577,416.01377313600995,64.4643064388,2.4993304,0.09906189700000001,3,0.371,2411893221.5413017,Optimal,118
HU,total_elec,2040,11.68600585095523,4.0,19125.4167142,4.317604416698199,285.04976508274,66.02035239271089,237.10767268174,47.942092401000004,4.3176044,0.23701654990000146,3,0.584,2360035096.7236547,Optimal,21
HU,total_elec,2050,13.602704373102155,4.0,13798.51321913,4.941045292808868,165.80898096413998,33.557470360665626,138.50088548693998,27.308095477200002,4.9410452,0.891618890001,3,0.926,1803524303.86189,Optimal,10
IE,total_elec,2025,5.681312555753869,5.0,13512.1027767646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.25,1249986293.20606,Optimal,10
IE,total_elec,2030,7.141184762512895,5.0,13270.360839897001,0.45298938827084445,49.8708402399,110.09273402687745,47.776980892299996,2.0938593476000005,0.45298938,0.7155620200001993,3,0.686,1440194477.7442603,Optimal,10
IE,total_elec,2040,8.1151066784397,4.5,9829.627141632,2.010332409166648,166.32908483199998,82.73710560182886,159.51602059959998,6.8130642323999995,2.0103324,1.8180679800009991,3,1.272,1269702084.4643853,Optimal,10
IE,total_elec,2050,9.698506797003112,4.0,7732.90557146,3.1511261591980935,252.98998397800003,80.28557766229885,236.30317343830004,16.6868105397,3.1511262,1.556858096,3,1.269,1082227819.388258,Optimal,10
IT,total_elec,2025,51.24210878167817,50.0,184249.5263721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,16534019326.403074,Optimal,10
IT,total_elec,2030,60.05024026833869,45.0,131215.09427536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.25,14504204341.12708,Optimal,10
IT,total_elec,2040,80.97415141140979,40.0,118211.72608012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,16310874495.50331,Optimal,10
IT,total_elec,2050,97.40919342710123,35.0,98197.55748006,9.52198758967701,571.249123796,59.99263477462451,549.333886796,21.915236999999998,9.5219876,14.498506590002995,3,14.758,12998307414.264616,Optimal,10
LT,total_elec,2025,2.289512872422913,1.0,4430.4266728774,0.09014120019287608,13.03040838376,144.55552351065546,11.8311227649,1.19928561886,0.0901412,0.1524523260001199,3,0.148,408109167.3609229,Optimal,13
LT,total_elec,2030,2.7036196202046585,1.0,4371.7374765362,0.5777371175143773,56.242773805409996,97.35011322690438,50.87593338721,5.3668404182,0.57773712,0.34200495200000003,3,0.266,491850959.6309753,Optimal,56
LT,total_elec,2040,3.4169736430128346,1.0,3052.8687930680003,0.8399069939976274,33.240458064124795,39.57635583663052,28.584702065899997,4.6557559982248,0.839907,0.22859068000039995,3,0.246,402133673.44027954,Optimal,10
LT,total_elec,2050,3.7294588754164577,1.0,2249.2828886457,1.0358234342803962,43.2430139456,41.747475983338454,40.677842899599995,2.5651710459999997,1.03582344,0.8267138359999999,3,0.591,302469330.79496324,Optimal,10
LU,total_elec,2025,1.0497279263164137,0.4,2625.381855035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.02,303795702.4851794,Optimal,10
LU,total_elec,2030,1.3626947208772369,0.4,2891.7672490610003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.02,398824839.2979995,Optimal,10
LU,total_elec,2040,1.606858713236103,0.35,2239.6120341516,0.07806728874437574,17.135694957030005,219.49904028484048,16.930816887860004,0.20487806917,0.078067288,0.25096130200002004,3,0.159,280139565.8785196,Optimal,10
LU,total_elec,2050,2.0163705829520553,0.3,2181.2254249420002,0.5498968724563658,58.34220735423,106.0966342536517,52.058605771299995,6.28360158293,0.54989688,0.09159223259999999,3,0.108,283435963.4696104,Optimal,45
LV,total_elec,2025,1.229506037593171,1.0,1442.8296662481998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,135763709.32094732,Optimal,10
LV,total_elec,2030,1.6437900034027024,1.0,2135.1638593384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.05,229543260.26553407,Optimal,10
