variant,country,year,shadow_eur_tco2,degenerate_low_baseline
COST_OPT_90,CY,2040,0.0,False
COST_OPT_90,CY,2050,81.39,False
COST_OPT_90,CZ,2025,0.0,False
COST_OPT_90,CZ,2030,0.0,False
COST_OPT_90,CZ,2040,0.0,False
COST_OPT_90,CZ,2050,0.0,False
COST_OPT_90,DE,2025,0.0,False
COST_OPT_90,DE,2030,0.0,False
COST_OPT_90,DE,2040,0.0,False
COST_OPT_90,DE,2050,0.0,False
COST_OPT_90,DK,2025,0.0,False
COST_OPT_90,DK,2030,0.0,False
COST_OPT_90,DK,2040,0.0,False
COST_OPT_90,DK,2050,0.0,False
COST_OPT_90,EE,2025,,True
COST_OPT_90,EE,2030,,True
COST_OPT_90,EE,2040,,True
COST_OPT_90,EE,2050,,True
COST_OPT_90,EL,2025,0.0,False
COST_OPT_90,EL,2030,0.0,False
COST_OPT_90,EL,2040,0.0,False
COST_OPT_90,EL,2050,0.0,False
COST_OPT_90,ES,2025,0.0,False
COST_OPT_90,ES,2030,37.23,False
COST_OPT_90,ES,2040,0.0,False
COST_OPT_90,ES,2050,0.0,False
COST_OPT_90,FI,2025,0.0,False
COST_OPT_90,FI,2030,0.0,False
COST_OPT_90,FI,2040,0.0,False
COST_OPT_90,FI,2050,0.0,False
COST_OPT_90,FR,2025,0.0,False
COST_OPT_90,FR,2030,0.0,False
COST_OPT_90,FR,2040,0.0,False
COST_OPT_90,FR,2050,0.0,False
COST_OPT_90,HR,2025,0.0,False
COST_OPT_90,HR,2030,111.89,False
COST_OPT_90,HR,2040,37.1,False
COST_OPT_90,HR,2050,6.1,False
COST_OPT_90,HU,2025,0.0,False
COST_OPT_90,HU,2030,15.37,False
COST_OPT_90,HU,2040,0.0,False
COST_OPT_90,HU,2050,0.0,False
COST_OPT_90,IE,2025,0.0,False
COST_OPT_90,IE,2030,0.0,False
COST_OPT_90,IE,2040,0.0,False
COST_OPT_90,IE,2050,0.0,False
COST_OPT_90,IT,2025,0.0,False
COST_OPT_90,IT,2030,0.0,False
COST_OPT_90,IT,2040,0.0,False
COST_OPT_90,IT,2050,0.0,False
COST_OPT_90,LT,2025,0.0,False
COST_OPT_90,LT,2030,0.0,False
COST_OPT_90,LT,2040,0.0,False
COST_OPT_90,LT,2050,0.0,False
COST_OPT_90,LU,2025,0.0,False
COST_OPT_90,LU,2030,0.0,False
COST_OPT_90,LU,2040,0.0,False
COST_OPT_90,LU,2050,0.0,False
COST_OPT_90,LV,2025,0.0,False
COST_OPT_90,LV,2030,0.0,False
COST_OPT_90,LV,2040,0.0,False
COST_OPT_90,LV,2050,0.0,False
COST_OPT_90,MT,2025,,True
COST_OPT_90,MT,2030,,True
COST_OPT_90,MT,2040,,True
COST_OPT_90,MT,2050,,True
COST_OPT_90,NL,2025,0.0,False
COST_OPT_90,NL,2030,0.0,False
COST_OPT_90,NL,2040,0.0,False
COST_OPT_90,NL,2050,0.0,False
COST_OPT_90,PL,2025,0.0,False
COST_OPT_90,PL,2030,33.3,False
COST_OPT_90,PL,2040,18.5,False
COST_OPT_90,PL,2050,10.7,False
COST_OPT_90,PT,2025,,True
COST_OPT_90,PT,2030,,True
COST_OPT_90,PT,2040,,True
COST_OPT_90,PT,2050,,True
COST_OPT_90,RO,2025,0.0,False
COST_OPT_90,RO,2030,14.82,False
COST_OPT_90,RO,2040,0.0,False
COST_OPT_90,RO,2050,0.0,False
COST_OPT_90,SE,2025,,True
COST_OPT_90,SE,2030,,True
COST_OPT_90,SE,2040,,True
COST_OPT_90,SE,2050,,True
COST_OPT_90,SI,2025,0.0,False
COST_OPT_90,SI,2030,0.0,False
COST_OPT_90,SI,2040,0.0,False
COST_OPT_90,SI,2050,0.0,False
COST_OPT_90,SK,2025,0.0,False
COST_OPT_90,SK,2030,0.0,False
COST_OPT_90,SK,2040,0.0,False
COST_OPT_90,SK,2050,0.0,False
COST_OPT_90,UK,2025,0.0,False
COST_OPT_90,UK,2030,0.0,False
COST_OPT_90,UK,2040,34.93,False
COST_OPT_90,UK,2050,21.5,False
COST_OPT_100,AT,2025,0.0,False
COST_OPT_100,AT,2030,0.0,False
COST_OPT_100,AT,2040,0.0,False
COST_OPT_100,AT,2050,0.0,False
COST_OPT_100,BE,2025,0.0,False
COST_OPT_100,BE,2030,0.0,False
COST_OPT_100,BE,2040,0.0,False
COST_OPT_100,BE,2050,0.0,False
COST_OPT_100,BG,2025,0.0,False
COST_OPT_100,BG,2030,0.0,False
COST_OPT_100,BG,2040,0.0,False
COST_OPT_100,BG,2050,0.0,False
COST_OPT_100,CH,2025,0.0,False
COST_OPT_100,CH,2030,0.0,False
COST_OPT_100,CH,2040,0.0,False
COST_OPT_100,CH,2050,0.0,False
COST_OPT_100,CY,2025,0.0,False
COST_OPT_100,CY,2030,206.99,False
COST_OPT_100,CY,2040,127.85,False
COST_OPT_100,CY,2050,81.39,False
COST_OPT_100,CZ,2025,0.0,False
COST_OPT_100,CZ,2030,0.0,False
COST_OPT_100,CZ,2040,0.0,False
COST_OPT_100,CZ,2050,0.0,False
COST_OPT_100,DE,2025,0.0,False
COST_OPT_100,DE,2030,0.0,False
COST_OPT_100,DE,2040,0.0,False
COST_OPT_100,DE,2050,0.0,False
COST_OPT_100,DK,2025,0.0,False
COST_OPT_100,DK,2030,0.0,False
COST_OPT_100,DK,2040,0.0,False
COST_OPT_100,DK,2050,0.0,False
COST_OPT_100,EE,2025,,True
COST_OPT_100,EE,2030,,True
COST_OPT_100,EE,2040,,True
COST_OPT_100,EE,2050,,True
COST_OPT_100,EL,2025,0.0,False
COST_OPT_100,EL,2030,0.0,False
COST_OPT_100,EL,2040,0.0,False
COST_OPT_100,EL,2050,0.0,False
COST_OPT_100,ES,2025,0.0,False
COST_OPT_100,ES,2030,37.23,False
COST_OPT_100,ES,2040,0.0,False
COST_OPT_100,ES,2050,0.0,False
COST_OPT_100,FI,2025,0.0,False
COST_OPT_100,FI,2030,0.0,False
COST_OPT_100,FI,2040,0.0,False
COST_OPT_100,FI,2050,0.0,False
COST_OPT_100,FR,2025,0.0,False
COST_OPT_100,FR,2030,0.0,False
COST_OPT_100,FR,2040,0.0,False
COST_OPT_100,FR,2050,0.0,False
COST_OPT_100,HR,2025,0.0,False
COST_OPT_100,HR,2030,111.89,False
COST_OPT_100,HR,2040,37.1,False
COST_OPT_100,HR,2050,6.1,False
COST_OPT_100,HU,2025,0.0,False
COST_OPT_100,HU,2030,15.37,False
COST_OPT_100,HU,2040,0.0,False
COST_OPT_100,HU,2050,0.0,False
COST_OPT_100,IE,2025,0.0,False
COST_OPT_100,IE,2030,0.0,False
COST_OPT_100,IE,2040,0.0,False
COST_OPT_100,IE,2050,0.0,False
COST_OPT_100,IT,2025,0.0,False
COST_OPT_100,IT,2030,0.0,False
COST_OPT_100,IT,2040,0.0,False
COST_OPT_100,IT,2050,0.0,False
COST_OPT_100,LT,2025,0.0,False
COST_OPT_100,LT,2030,0.0,False
COST_OPT_100,LT,2040,0.0,False
COST_OPT_100,LT,2050,0.0,False
COST_OPT_100,LU,2025,0.0,False
COST_OPT_100,LU,2030,0.0,False
COST_OPT_100,LU,2040,0.0,False
COST_OPT_100,LU,2050,0.0,False
COST_OPT_100,LV,2025,0.0,False
COST_OPT_100,LV,2030,0.0,False
COST_OPT_100,LV,2040,0.0,False
COST_OPT_100,LV,2050,0.0,False
COST_OPT_100,MT,2025,,True
COST_OPT_100,MT,2030,,True
COST_OPT_100,MT,2040,,True
COST_OPT_100,MT,2050,,True
