country,year,population,source_dataset
IE,2030,5504390,Eurostat proj_19np EUROPOP2023 baseline
IE,2031,5547973,Eurostat proj_19np EUROPOP2023 baseline
IE,2032,5590752,Eurostat proj_19np EUROPOP2023 baseline
IE,2033,5632753,Eurostat proj_19np EUROPOP2023 baseline
IE,2034,5673959,Eurostat proj_19np EUROPOP2023 baseline
IE,2035,5714371,Eurostat proj_19np EUROPOP2023 baseline
IE,2036,5753986,Eurostat proj_19np EUROPOP2023 baseline
IE,2037,5792809,Eurostat proj_19np EUROPOP2023 baseline
IE,2038,5830847,Eurostat proj_19np EUROPOP2023 baseline
IE,2039,5868093,Eurostat proj_19np EUROPOP2023 baseline
IE,2040,5904540,Eurostat proj_19np EUROPOP2023 baseline
IE,2041,5940169,Eurostat proj_19np EUROPOP2023 baseline
IE,2042,5974954,Eurostat proj_19np EUROPOP2023 baseline
IE,2043,6008818,Eurostat proj_19np EUROPOP2023 baseline
IE,2044,6041673,Eurostat proj_19np EUROPOP2023 baseline
IE,2045,6073416,Eurostat proj_19np EUROPOP2023 baseline
IE,2046,6103977,Eurostat proj_19np EUROPOP2023 baseline
IE,2047,6133275,Eurostat proj_19np EUROPOP2023 baseline
IE,2048,6161266,Eurostat proj_19np EUROPOP2023 baseline
IE,2049,6187915,Eurostat proj_19np EUROPOP2023 baseline
IE,2050,6213191,Eurostat proj_19np EUROPOP2023 baseline
IT,2025,60088529,Eurostat proj_19np EUROPOP2023 baseline
IT,2026,60067445,Eurostat proj_19np EUROPOP2023 baseline
IT,2027,60041929,Eurostat proj_19np EUROPOP2023 baseline
IT,2028,60012403,Eurostat proj_19np EUROPOP2023 baseline
IT,2029,59979183,Eurostat proj_19np EUROPOP2023 baseline
IT,2030,59942512,Eurostat proj_19np EUROPOP2023 baseline
IT,2031,59902540,Eurostat proj_19np EUROPOP2023 baseline
IT,2032,59859412,Eurostat proj_19np EUROPOP2023 baseline
IT,2033,59813050,Eurostat proj_19np EUROPOP2023 baseline
IT,2034,59763323,Eurostat proj_19np EUROPOP2023 baseline
IT,2035,59709982,Eurostat proj_19np EUROPOP2023 baseline
IT,2036,59652738,Eurostat proj_19np EUROPOP2023 baseline
IT,2037,59591199,Eurostat proj_19np EUROPOP2023 baseline
IT,2038,59524785,Eurostat proj_19np EUROPOP2023 baseline
IT,2039,59452921,Eurostat proj_19np EUROPOP2023 baseline
IT,2040,59375006,Eurostat proj_19np EUROPOP2023 baseline
IT,2041,59290398,Eurostat proj_19np EUROPOP2023 baseline
IT,2042,59198413,Eurostat proj_19np EUROPOP2023 baseline
IT,2043,59098273,Eurostat proj_19np EUROPOP2023 baseline
IT,2044,58989290,Eurostat proj_19np EUROPOP2023 baseline
IT,2045,58870898,Eurostat proj_19np EUROPOP2023 baseline
IT,2046,58742580,Eurostat proj_19np EUROPOP2023 baseline
IT,2047,58603837,Eurostat proj_19np EUROPOP2023 baseline
IT,2048,58454691,Eurostat proj_19np EUROPOP2023 baseline
IT,2049,58295056,Eurostat proj_19np EUROPOP2023 baseline
IT,2050,58125032,Eurostat proj_19np EUROPOP2023 baseline
LT,2025,2707915,Eurostat proj_19np EUROPOP2023 baseline
LT,2026,2680733,Eurostat proj_19np EUROPOP2023 baseline
LT,2027,2653915,Eurostat proj_19np EUROPOP2023 baseline
LT,2028,2627448,Eurostat proj_19np EUROPOP2023 baseline
LT,2029,2601326,Eurostat proj_19np EUROPOP2023 baseline
LT,2030,2575553,Eurostat proj_19np EUROPOP2023 baseline
