n_person,building,unit,geo,2021
1,NRES,NR,DK041,1326
1,NRES,NR,DK042,1828
1,NRES,NR,DK05,1774
1,NRES,NR,DK050,1774
1,NRES,NR,DKZ,0
1,NRES,NR,DKZZ,0
1,NRES,NR,DKZZZ,0
1,NRES,NR,EE,2017
1,NRES,NR,EE0,2017
1,NRES,NR,EE00,2017
1,NRES,NR,EE001,834
1,NRES,NR,EE004,352
1,NRES,NR,EE008,546
1,NRES,NR,EE009,202
1,NRES,NR,EE00A,83
1,NRES,NR,EEZ,0
1,NRES,NR,EEZZ,0
1,NRES,NR,EEZZZ,0
1,NRES,NR,EL,6024
1,NRES,NR,EL3,1463
1,NRES,NR,EL30,1463
1,NRES,NR,EL301,204
1,NRES,NR,EL302,235
1,NRES,NR,EL303,363
1,NRES,NR,EL304,174
1,NRES,NR,EL305,223
1,NRES,NR,EL306,64
1,NRES,NR,EL307,201
1,NRES,NR,EL4,1550
1,NRES,NR,EL41,290
1,NRES,NR,EL411,102
1,NRES,NR,EL412,115
1,NRES,NR,EL413,68
1,NRES,NR,EL42,621
1,NRES,NR,EL421,317
1,NRES,NR,EL422,301
1,NRES,NR,EL43,645
1,NRES,NR,EL431,304
1,NRES,NR,EL432,75
1,NRES,NR,EL433,135
1,NRES,NR,EL434,129
1,NRES,NR,EL5,1263
1,NRES,NR,EL51,281
1,NRES,NR,EL511,81
1,NRES,NR,EL512,33
1,NRES,NR,EL513,50
1,NRES,NR,EL514,29
1,NRES,NR,EL515,90
1,NRES,NR,EL52,626
1,NRES,NR,EL521,41
1,NRES,NR,EL522,294
1,NRES,NR,EL523,31
1,NRES,NR,EL524,51
1,NRES,NR,EL525,79
1,NRES,NR,EL526,60
1,NRES,NR,EL527,76
1,NRES,NR,EL53,130
1,NRES,NR,EL531,78
1,NRES,NR,EL532,31
1,NRES,NR,EL533,20
1,NRES,NR,EL54,235
1,NRES,NR,EL541,121
1,NRES,NR,EL542,42
1,NRES,NR,EL543,72
1,NRES,NR,EL6,1734
1,NRES,NR,EL61,363
1,NRES,NR,EL611,108
1,NRES,NR,EL612,116
1,NRES,NR,EL613,143
1,NRES,NR,EL62,301
1,NRES,NR,EL621,83
1,NRES,NR,EL622,94
1,NRES,NR,EL623,85
1,NRES,NR,EL624,42
1,NRES,NR,EL63,330
1,NRES,NR,EL631,97
1,NRES,NR,EL632,122
1,NRES,NR,EL633,112
1,NRES,NR,EL64,385
1,NRES,NR,EL641,77
1,NRES,NR,EL642,189
1,NRES,NR,EL643,12
1,NRES,NR,EL644,75
1,NRES,NR,EL645,32
1,NRES,NR,EL65,354
1,NRES,NR,EL651,162
1,NRES,NR,EL652,64
1,NRES,NR,EL653,133
1,NRES,NR,ELZ,7
1,NRES,NR,ELZZ,7
1,NRES,NR,ELZZZ,7
1,NRES,NR,ES,66537
1,NRES,NR,ES1,3600
1,NRES,NR,ES11,2503
1,NRES,NR,ES111,728
1,NRES,NR,ES112,262
1,NRES,NR,ES113,882
1,NRES,NR,ES114,631
1,NRES,NR,ES12,635
1,NRES,NR,ES120,635
1,NRES,NR,ES13,462
1,NRES,NR,ES130,462
1,NRES,NR,ES2,10636
1,NRES,NR,ES21,458
1,NRES,NR,ES211,98
1,NRES,NR,ES212,214
1,NRES,NR,ES213,144
1,NRES,NR,ES22,7920
1,NRES,NR,ES220,7920
1,NRES,NR,ES23,387
1,NRES,NR,ES230,387
1,NRES,NR,ES24,1868
1,NRES,NR,ES241,582
1,NRES,NR,ES242,386
1,NRES,NR,ES243,899
1,NRES,NR,ES3,4802
1,NRES,NR,ES30,4802
1,NRES,NR,ES300,4802
1,NRES,NR,ES4,14088
1,NRES,NR,ES41,6757
1,NRES,NR,ES411,666
1,NRES,NR,ES412,1111
1,NRES,NR,ES413,1264
1,NRES,NR,ES414,467
1,NRES,NR,ES415,1153
1,NRES,NR,ES416,352
1,NRES,NR,ES417,330
1,NRES,NR,ES418,511
1,NRES,NR,ES419,898
1,NRES,NR,ES42,4253
1,NRES,NR,ES421,742
1,NRES,NR,ES422,909
1,NRES,NR,ES423,850
1,NRES,NR,ES424,666
1,NRES,NR,ES425,1081
1,NRES,NR,ES43,3079
1,NRES,NR,ES431,1456
1,NRES,NR,ES432,1626
1,NRES,NR,ES5,13404
1,NRES,NR,ES51,7583
1,NRES,NR,ES511,4761
1,NRES,NR,ES512,1143
1,NRES,NR,ES513,799
1,NRES,NR,ES514,880
1,NRES,NR,ES52,4140
1,NRES,NR,ES521,1708
1,NRES,NR,ES522,649
1,NRES,NR,ES523,1780
1,NRES,NR,ES53,1684
1,NRES,NR,ES531,402
1,NRES,NR,ES532,1168
1,NRES,NR,ES533,115
1,NRES,NR,ES6,12709
1,NRES,NR,ES61,11501
1,NRES,NR,ES611,1040
1,NRES,NR,ES612,1722
1,NRES,NR,ES613,1058
1,NRES,NR,ES614,1680
1,NRES,NR,ES615,874
1,NRES,NR,ES616,1173
1,NRES,NR,ES617,1684
1,NRES,NR,ES618,2272
1,NRES,NR,ES62,1031
1,NRES,NR,ES620,1031
1,NRES,NR,ES63,81
1,NRES,NR,ES630,81
1,NRES,NR,ES64,92
1,NRES,NR,ES640,92
1,NRES,NR,ES7,7301
1,NRES,NR,ES70,7301
1,NRES,NR,ES703,51
1,NRES,NR,ES704,654
1,NRES,NR,ES705,2961
1,NRES,NR,ES706,70
1,NRES,NR,ES707,232
1,NRES,NR,ES708,804
