country|country_code|sector|subsector|btype|bage|topic|feature|type|detail|estimated|value|unit|source
Austria|at|Residential sector|Total|Total|1970 - 1979|BUILDING|Area|Heated area [Mm²]||0|76.07432432988561|Mm²|S. Pezzutto. Analysis of the space heating and cooling market in Europe. PhD-Thesis. 2014
Austria|at|Residential sector|Total|Total|1970 - 1979|BUILDING|Area|Cooled area [Mm²]||0|1.8408049005276144|Mm²|
Austria|at|Residential sector|Total|Total|1970 - 1979|BUILDING|Area|Number of dwellings/units [Mil.]||0|0.8674501197687615|1e6 dimensionless|Own calculations
Austria|at|Residential sector|Total|Total|1970 - 1979|BUILDING|Area|Number of buildings [Mil.]||0|0.35682659235560765|1e6 dimensionless|Own calculations
Austria|at|Residential sector|Total|Total|1970 - 1979|BUILDING|Tenure/ownership status and distribution|Owner occupied -  dwellings/units  [Mil.]||0|0.4961814685077316|1e6 dimensionless|Own calculations
Austria|at|Residential sector|Total|Total|1970 - 1979|BUILDING|Tenure/ownership status and distribution|Private rented  -  dwellings/units [Mil.]||0|0.23594643257710313|1e6 dimensionless|Own calculations
Austria|at|Residential sector|Total|Total|1970 - 1979|BUILDING|Tenure/ownership status and distribution|Social housing  -  dwellings/units [Mil.]||0|0.1353222186839268|1e6 dimensionless|Own calculations
Austria|at|Residential sector|Total|Total|1970 - 1979|BUILDING|Occupancy|Occupied [Mil.]||0|0.7442208891528583|1e6 dimensionless|Own calculations
Austria|at|Residential sector|Total|Total|1970 - 1979|BUILDING|Occupancy|Vacant [Mil.]||1|0.10235911413271387|1e6 dimensionless|Own calculations
Austria|at|Residential sector|Total|Total|1970 - 1979|BUILDING|Occupancy|Secondary dwellings/ units and others [Mil.]||1|0.020870116483189306|1e6 dimensionless|Own calculations
Austria|at|Residential sector|Total|Total|1970 - 1979|BUILDING|Construction features (U-values)|Walls||0|1.3227924516706016|dimensionless|Source residential part: IEE TABULA Project, TABULA Web Tool, 2017 http://webtool.building-typology.eu/#bm; Source service part: S. Birchall et al., D2.1a Survey on the energy needs and architectural features of the EU building stock, 2014
Austria|at|Residential sector|Total|Total|1970 - 1979|BUILDING|Construction features (U-values)|Windows ||0|2.4803397217567684|dimensionless|Source residential part: IEE TABULA Project, TABULA Web Tool, 2017 http://webtool.building-typology.eu/#bm; Source service part: S. Birchall et al., D2.1a Survey on the energy needs and architectural features of the EU building stock, 2014
Austria|at|Residential sector|Total|Total|1970 - 1979|BUILDING|Construction features (U-values)|Roof ||0|0.7918672362986057|dimensionless|Source residential part: IEE TABULA Project, TABULA Web Tool, 2017 http://webtool.building-typology.eu/#bm; Source service part: S. Birchall et al., D2.1a Survey on the energy needs and architectural features of the EU building stock, 2014
Austria|at|Residential sector|Total|Total|1970 - 1979|BUILDING|Construction features (U-values)|Floor ||0|0.6989519320085948|dimensionless|Source residential part: IEE TABULA Project, TABULA Web Tool, 2017 http://webtool.building-typology.eu/#bm; Source service part: S. Birchall et al., D2.1a Survey on the energy needs and architectural features of the EU building stock, 2014
Austria|at|Residential sector|Total|Total|1970 - 1979|WALLS|construction material|brick||0|0.7332250093972705|dimensionless|Source residential part: Own calculations
Austria|at|Residential sector|Total|Total|1970 - 1979|WALLS|construction material|concrete||0|0.2667749906027295|dimensionless|Source residential part: Own calculations
Austria|at|Residential sector|Total|Total|1970 - 1979|WALLS|construction methodology|honeycomb bricks / hollow blocks wall||0|0.8420070805274812|dimensionless|Source residential part: Own calculations
Austria|at|Residential sector|Total|Total|1970 - 1979|WALLS|construction methodology|other||0|0.15799291947251892|dimensionless|Source residential part: Own calculations
Austria|at|Residential sector|Total|Total|1970 - 1979|WINDOWS|construction material|wood||0|0.5543910355651054|dimensionless|Source residential part: Own calculations
Austria|at|Residential sector|Total|Total|1970 - 1979|WINDOWS|construction material|synthetic / pvc||0|0.4456089644348947|dimensionless|Source residential part: Own calculations
Austria|at|Residential sector|Total|Total|1970 - 1979|WINDOWS|construction methodology|single glazing||0|0.10878207113021061|dimensionless|Source residential part: Own calculations
Austria|at|Residential sector|Total|Total|1970 - 1979|WINDOWS|construction methodology|double glazing||0|0.8912179288697895|dimensionless|Source residential part: Own calculations
Austria|at|Residential sector|Total|Total|1970 - 1979|ROOF|construction material|wood||0|0.10878207113021061|dimensionless|Source residential part: Own calculations
Austria|at|Residential sector|Total|Total|1970 - 1979|ROOF|construction material|concrete||0|0.8912179288697895|dimensionless|Source residential part: Own calculations
Austria|at|Residential sector|Total|Total|1970 - 1979|ROOF|construction material|tilted roof||0|1|dimensionless|Source residential part: Own calculations
Austria|at|Residential sector|Total|Total|1970 - 1979|ROOF|construction material||insulation|0|0.8420070805274812|dimensionless|Source residential part: Own calculations
Austria|at|Residential sector|Total|Total|1970 - 1979|FLOOR|construction material|concrete||0|1|dimensionless|Source residential part: Own calculations
Austria|at|Residential sector|Total|Total|1970 - 1979|FLOOR|construction methodology|concrete slab||0|1|dimensionless|Source residential part: Own calculations
Austria|at|Residential sector|Total|Total|1970 - 1979|FLOOR|construction methodology||insulation|0|0.7332250093972705|dimensionless|Source residential part: Own calculations
Austria|at|Residential sector|Total|Total|1970 - 1979|ENERGY|Useful energy demand|Space heating [kWh/m² year]||0|148.2162179184415|kWh/m²/year|Vienna University of Technology, e-think. Invert/EE-Lab. 2017 http://www.invert.at/
Austria|at|Residential sector|Total|Total|1970 - 1979|ENERGY|Useful energy demand|Space cooling [kWh/m² year]||0|31.701318768475872|kWh/m²/year|Vienna University of Technology, e-think. Invert/EE-Lab. 2017 http://www.invert.at/
Austria|at|Residential sector|Total|Total|1970 - 1979|ENERGY|Useful energy demand|Domestic hot water  [kWh/m² year]||0|18.32693632914487|kWh/m²/year|Vienna University of Technology, e-think. Invert/EE-Lab. 2017 http://www.invert.at/
Austria|at|Residential sector|Total|Total|1970 - 1979|ENERGY|Final energy consumption|Space heating [kWh/m² year]||0|196.81631577389845|kWh/m²/year|Vienna University of Technology, e-think. Invert/EE-Lab. 2017 http://www.invert.at/
Austria|at|Residential sector|Total|Total|1970 - 1979|ENERGY|Final energy consumption|Space cooling [kWh/m² year]||0|5.389224190640898|kWh/m²/year|Vienna University of Technology, e-think. Invert/EE-Lab. 2017 http://www.invert.at/
Austria|at|Residential sector|Total|Total|1970 - 1979|ENERGY|Final energy consumption|Domestic hot water [kWh/m² year]||0|27.490404493717307|kWh/m²/year|Vienna University of Technology, e-think. Invert/EE-Lab. 2017 http://www.invert.at/
Austria|at|Residential sector|Total|Total|1970 - 1979|ENERGY|Total useful energy demand|Space heating+Domestic hot water [TWh/year]||0|12.784058456276497|TWh/year|Vienna University of Technology, e-think. Invert/EE-Lab. 2017 http://www.invert.at/ and S. Pezzutto. Analysis of the space heating and cooling market in Europe. PhD-Thesis. 2014
Austria|at|Residential sector|Total|Total|1970 - 1979|ENERGY|Total useful energy demand|Space cooling [TWh/year]||0|0.058355942942198424|TWh/year|Vienna University of Technology, e-think. Invert/EE-Lab. 2017 http://www.invert.at/ and S. Pezzutto. Analysis of the space heating and cooling market in Europe. PhD-Thesis. 2014
Austria|at|Residential sector|Total|Total|1970 - 1979|ENERGY|Total final energy consumption|Space heating+Domestic hot water [TWh/year]||0|17.235582974696698|TWh/year|Vienna University of Technology, e-think. Invert/EE-Lab. 2017 http://www.invert.at/ and S. Pezzutto. Analysis of the space heating and cooling market in Europe. PhD-Thesis. 2014
Austria|at|Residential sector|Total|Total|1970 - 1979|ENERGY|Total final energy consumption|Space cooling [TWh/year]||0|0.009920510300173732|TWh/year|Vienna University of Technology, e-think. Invert/EE-Lab. 2017 http://www.invert.at/ and S. Pezzutto. Analysis of the space heating and cooling market in Europe. PhD-Thesis. 2014
