nuts_id,country,building_type,heat_2015_MWh,hp_feasibility,dh_feasibility
BG314,BG,OTHER,622695.5034308021,0.6,0.4
BG314,BG,SFH,175935.42353561596,0.9,0.3
BG315,BG,MFH_HIGH,64499.080177832286,0.5,0.8
BG315,BG,OTHER,390067.836884869,0.6,0.4
BG315,BG,SFH,130433.0829372988,0.9,0.3
BG321,BG,MFH_HIGH,150455.92453423774,0.5,0.8
BG321,BG,OTHER,614102.4957825785,0.6,0.4
BG321,BG,SFH,156441.57968318375,0.9,0.3
BG322,BG,MFH_HIGH,94890.8673649136,0.5,0.8
BG322,BG,OTHER,340054.8544184806,0.6,0.4
BG322,BG,SFH,75054.2782166058,0.9,0.3
BG323,BG,MFH_HIGH,161691.68621187846,0.5,0.8
BG323,BG,OTHER,553425.0409737951,0.6,0.4
BG323,BG,SFH,114883.27281432634,0.9,0.3
BG324,BG,MFH_HIGH,37855.827858192446,0.5,0.8
BG324,BG,OTHER,260033.37443207728,0.6,0.4
BG324,BG,SFH,92110.79770973026,0.9,0.3
BG325,BG,MFH_HIGH,38240.11359602414,0.5,0.8
BG325,BG,OTHER,240692.29676961305,0.6,0.4
BG325,BG,SFH,82067.5896343628,0.9,0.3
BG331,BG,MFH_HIGH,393491.25008882047,0.5,0.8
BG331,BG,OTHER,1143755.056777219,0.6,0.4
BG331,BG,SFH,177753.6931339604,0.9,0.3
BG332,BG,MFH_HIGH,100844.42679543866,0.5,0.8
BG332,BG,OTHER,432711.9583645288,0.6,0.4
BG332,BG,SFH,115443.6148400325,0.9,0.3
BG333,BG,MFH_HIGH,86221.01625587816,0.5,0.8
BG333,BG,OTHER,394771.1013587304,0.6,0.4
BG333,BG,SFH,111007.88238539144,0.9,0.3
BG334,BG,MFH_HIGH,57216.6439866898,0.5,0.8
BG334,BG,OTHER,285371.8650558689,0.6,0.4
BG334,BG,SFH,85411.49095744129,0.9,0.3
BG341,BG,MFH_HIGH,325841.9672161122,0.5,0.8
BG341,BG,OTHER,1107737.2589890568,0.6,0.4
BG341,BG,SFH,227420.77379483095,0.9,0.3
BG342,BG,MFH_HIGH,76176.91679158974,0.5,0.8
BG342,BG,OTHER,398056.33440348966,0.6,0.4
BG342,BG,SFH,122766.7488049206,0.9,0.3
BG343,BG,MFH_HIGH,68740.01191501446,0.5,0.8
BG343,BG,OTHER,291395.3840122731,0.6,0.4
BG343,BG,SFH,76864.60407271245,0.9,0.3
BG344,BG,MFH_HIGH,213443.2367909271,0.5,0.8
BG344,BG,OTHER,762077.7575930886,0.6,0.4
BG344,BG,SFH,167479.00561598435,0.9,0.3
BG411,BG,MFH_HIGH,1620344.156120387,0.5,0.8
BG411,BG,OTHER,3689337.4540040414,0.6,0.4
BG411,BG,SFH,222318.3898755716,0.9,0.3
BG412,BG,MFH_HIGH,89371.04012671595,0.5,0.8
BG412,BG,OTHER,700168.2946145723,0.6,0.4
BG412,BG,SFH,260460.66525871173,0.9,0.3
BG413,BG,MFH_HIGH,144260.30824621065,0.5,0.8
BG413,BG,OTHER,680327.4842355074,0.6,0.4
BG413,BG,SFH,195412.20751828197,0.9,0.3
BG414,BG,MFH_HIGH,91156.16902620748,0.5,0.8
BG414,BG,OTHER,371426.5553692629,0.6,0.4
BG414,BG,SFH,94417.2756045296,0.9,0.3
BG415,BG,MFH_HIGH,63284.067164740016,0.5,0.8
BG415,BG,OTHER,340022.488462637,0.6,0.4
BG415,BG,SFH,106693.444372623,0.9,0.3
BG421,BG,MFH_HIGH,430307.495764174,0.5,0.8
BG421,BG,OTHER,1460865.6903911694,0.6,0.4
BG421,BG,SFH,299826.8138446567,0.9,0.3
BG422,BG,MFH_HIGH,115369.89404910836,0.5,0.8
BG422,BG,OTHER,507460.0998802644,0.6,0.4
BG422,BG,SFH,138170.00607062722,0.9,0.3
BG423,BG,MFH_HIGH,91129.53522051898,0.5,0.8
BG423,BG,OTHER,582094.8805406732,0.6,0.4
BG423,BG,SFH,199775.58423880785,0.9,0.3
BG424,BG,MFH_HIGH,70347.7013663471,0.5,0.8
BG424,BG,OTHER,308165.92436023254,0.6,0.4
BG424,BG,SFH,83486.3742734204,0.9,0.3
BG425,BG,MFH_HIGH,54523.401979138805,0.5,0.8
BG425,BG,OTHER,315438.1395783619,0.6,0.4
BG425,BG,SFH,103038.4584424993,0.9,0.3
BGZZZ,BG,MFH_HIGH,0.0,0.5,0.8
BGZZZ,BG,OTHER,0.0,0.6,0.4
BGZZZ,BG,SFH,0.0,0.9,0.3
CH011,CH,MFH_HIGH,1587750.6142298847,0.5,0.8
CH011,CH,OTHER,4544470.185962242,0.6,0.4
CH011,CH,SFH,638779.1998078729,0.9,0.3
CH012,CH,MFH_HIGH,784501.922390755,0.5,0.8
CH012,CH,OTHER,2927717.6570498585,0.6,0.4
CH012,CH,SFH,646780.4205593866,0.9,0.3
CH013,CH,MFH_HIGH,1100780.486741857,0.5,0.8
CH013,CH,OTHER,2603234.7461654847,0.6,0.4
CH013,CH,SFH,186984.76709265856,0.9,0.3
CH021,CH,MFH_HIGH,1989787.4155504385,0.5,0.8
CH021,CH,OTHER,6817001.346627116,0.6,0.4
CH021,CH,SFH,1290211.237822445,0.9,0.3
CH022,CH,MFH_HIGH,426356.9488934447,0.5,0.8
CH022,CH,OTHER,1682652.409909657,0.6,0.4
CH022,CH,SFH,382990.6411968981,0.9,0.3
CH023,CH,MFH_HIGH,405887.8262843133,0.5,0.8
CH023,CH,OTHER,1684337.260784361,0.6,0.4
CH023,CH,SFH,413774.9129313255,0.9,0.3
CH024,CH,MFH_HIGH,436360.44322645606,0.5,0.8
CH024,CH,OTHER,1222992.5673950962,0.6,0.4
CH024,CH,SFH,155646.98937844776,0.9,0.3
CH025,CH,MFH_HIGH,90984.55236056772,0.5,0.8
CH025,CH,OTHER,470847.04556220287,0.6,0.4
CH025,CH,SFH,135168.40207722943,0.9,0.3
CH031,CH,MFH_HIGH,557541.1809599957,0.5,0.8
CH031,CH,OTHER,1294201.820775374,0.6,0.4
CH031,CH,SFH,83256.99826463025,0.9,0.3
CH032,CH,MFH_HIGH,495115.5719245721,0.5,0.8
CH032,CH,OTHER,1771154.0794131774,0.6,0.4
CH032,CH,SFH,381730.34866225056,0.9,0.3
CH033,CH,MFH_HIGH,1013222.206776472,0.5,0.8
CH033,CH,OTHER,3706328.12530716,0.6,0.4
CH033,CH,SFH,791449.6679163683,0.9,0.3
CH040,CH,MFH_HIGH,3305904.196334026,0.5,0.8
CH040,CH,OTHER,8788591.585116655,0.6,0.4
CH040,CH,SFH,980504.2185493208,0.9,0.3
CH051,CH,MFH_HIGH,72112.39602035297,0.5,0.8
CH051,CH,OTHER,317032.5443555026,0.6,0.4
CH051,CH,SFH,82855.05962414444,0.9,0.3
CH052,CH,MFH_HIGH,128183.01124072271,0.5,0.8
CH052,CH,OTHER,464438.2745282268,0.6,0.4
CH052,CH,SFH,96378.71423105046,0.9,0.3
CH053,CH,MFH_HIGH,76429.8347476552,0.5,0.8
CH053,CH,OTHER,359203.8112252494,0.6,0.4
CH053,CH,SFH,94366.35402709544,0.9,0.3
CH054,CH,MFH_HIGH,16066.838153794675,0.5,0.8
CH054,CH,OTHER,99007.13135495744,0.6,0.4
CH054,CH,SFH,32926.03049124788,0.9,0.3
CH055,CH,MFH_HIGH,891765.7194691037,0.5,0.8
CH055,CH,OTHER,3061450.8936196053,0.6,0.4
CH055,CH,SFH,578783.3869112909,0.9,0.3
CH056,CH,MFH_HIGH,521004.1854156418,0.5,0.8
CH056,CH,OTHER,1875282.7866726809,0.6,0.4
CH056,CH,SFH,363713.0279116772,0.9,0.3
CH057,CH,MFH_HIGH,368823.1033900039,0.5,0.8
CH057,CH,OTHER,1411592.4040184806,0.6,0.4
CH057,CH,SFH,313584.49259151536,0.9,0.3
CH061,CH,MFH_HIGH,785406.602263861,0.5,0.8
CH061,CH,OTHER,2334573.1420149817,0.6,0.4
CH061,CH,SFH,351020.2557211576,0.9,0.3
CH062,CH,MFH_HIGH,59059.08048881748,0.5,0.8
CH062,CH,OTHER,244912.68795465623,0.6,0.4
CH062,CH,SFH,60028.23155652629,0.9,0.3
CH063,CH,MFH_HIGH,282176.27889534406,0.5,0.8
CH063,CH,OTHER,908297.7701928996,0.6,0.4
CH063,CH,SFH,161525.95091175626,0.9,0.3
CH064,CH,MFH_HIGH,73778.46358370526,0.5,0.8
CH064,CH,OTHER,265048.7996477931,0.6,0.4
CH064,CH,SFH,54172.73676850165,0.9,0.3
CH065,CH,MFH_HIGH,100000.67672435987,0.5,0.8
CH065,CH,OTHER,286788.86935542006,0.6,0.4
CH065,CH,SFH,41210.45392022008,0.9,0.3
CH066,CH,MFH_HIGH,265973.75621667696,0.5,0.8
CH066,CH,OTHER,690940.9290908485,0.6,0.4
CH066,CH,SFH,68085.31469247447,0.9,0.3
CH070,CH,MFH_HIGH,739816.1913565294,0.5,0.8
CH070,CH,OTHER,2561564.767437488,0.6,0.4
CH070,CH,SFH,523619.04120598274,0.9,0.3
CHZZZ,CH,MFH_HIGH,0.0,0.5,0.8
CHZZZ,CH,OTHER,0.0,0.6,0.4
CHZZZ,CH,SFH,0.0,0.9,0.3
CY000,CY,MFH_HIGH,356274.3072150502,0.5,0.8
CY000,CY,OTHER,2101547.2047338854,0.6,0.4
CY000,CY,SFH,689178.4880510643,0.9,0.3
CYZZZ,CY,MFH_HIGH,0.0,0.5,0.8
CYZZZ,CY,OTHER,0.0,0.6,0.4
CYZZZ,CY,SFH,0.0,0.9,0.3
CZ010,CZ,MFH_HIGH,4250951.1723147305,0.5,0.8
CZ010,CZ,OTHER,9694998.376314815,0.6,0.4
CZ010,CZ,SFH,552050.4513704533,0.9,0.3
CZ020,CZ,MFH_HIGH,1239229.0037940005,0.5,0.8
CZ020,CZ,OTHER,6598913.177021666,0.6,0.4
CZ020,CZ,SFH,2013857.819184333,0.9,0.3
CZ031,CZ,MFH_HIGH,781101.6339365818,0.5,0.8
CZ031,CZ,OTHER,3294712.996808464,0.6,0.4
CZ031,CZ,SFH,833185.3692549546,0.9,0.3
CZ032,CZ,MFH_HIGH,779791.2428995898,0.5,0.8
CZ032,CZ,OTHER,3012840.636680913,0.6,0.4
CZ032,CZ,SFH,702368.1204194969,0.9,0.3
CZ041,CZ,MFH_HIGH,529269.9445512526,0.5,0.8
CZ041,CZ,OTHER,1538075.811281656,0.6,0.4
CZ041,CZ,SFH,223654.24416709115,0.9,0.3
CZ042,CZ,MFH_HIGH,1328487.2585364578,0.5,0.8
CZ042,CZ,OTHER,4016591.576179547,0.6,0.4
CZ042,CZ,SFH,648921.1652839957,0.9,0.3
CZ051,CZ,MFH_HIGH,627344.9564153459,0.5,0.8
CZ051,CZ,OTHER,2218645.555385516,0.6,0.4
CZ051,CZ,SFH,458009.488199138,0.9,0.3
CZ052,CZ,MFH_HIGH,675434.6362324278,0.5,0.8
CZ052,CZ,OTHER,2886252.394106585,0.6,0.4
CZ052,CZ,SFH,741312.969660987,0.9,0.3
CZ053,CZ,MFH_HIGH,565404.0097502914,0.5,0.8
CZ053,CZ,OTHER,2659627.167430323,0.6,0.4
CZ053,CZ,SFH,740968.8228193854,0.9,0.3
CZ063,CZ,MFH_HIGH,480178.5247511764,0.5,0.8
CZ063,CZ,OTHER,2551245.0722803134,0.6,0.4
CZ063,CZ,SFH,771576.40296851,0.9,0.3
CZ064,CZ,MFH_HIGH,1446399.571152835,0.5,0.8
CZ064,CZ,OTHER,5951184.96431697,0.6,0.4
CZ064,CZ,SFH,1486415.4645301949,0.9,0.3
CZ071,CZ,MFH_HIGH,775476.9553429843,0.5,0.8
CZ071,CZ,OTHER,3174138.893756333,0.6,0.4
CZ071,CZ,SFH,783384.1509006828,0.9,0.3
CZ072,CZ,MFH_HIGH,565311.4214153303,0.5,0.8
CZ072,CZ,OTHER,2826184.237689129,0.6,0.4
CZ072,CZ,SFH,825504.3408955403,0.9,0.3
CZ080,CZ,MFH_HIGH,1861093.1744953643,0.5,0.8
CZ080,CZ,OTHER,6291698.519550563,0.6,0.4
CZ080,CZ,SFH,1239208.3059540722,0.9,0.3
CZZZZ,CZ,MFH_HIGH,0.0,0.5,0.8
CZZZZ,CZ,OTHER,0.0,0.6,0.4
CZZZZ,CZ,SFH,0.0,0.9,0.3
DE111,DE,MFH_HIGH,1737389.2484050123,0.5,0.8
DE111,DE,OTHER,4219953.866988081,0.6,0.4
DE111,DE,SFH,333656.8846069073,0.9,0.3
DE112,DE,MFH_HIGH,625456.7811500798,0.5,0.8
DE112,DE,OTHER,2357436.8696382786,0.6,0.4
DE112,DE,SFH,531106.3492116415,0.9,0.3
