nuts_id,country,building_type,n_buildings,dwellings_2021,dwellings_share,heat_2015_MWh
BG413,BG,MFH_HIGH,8860,54406.0,0.3585924163431562,509252.4094995531
BG413,BG,OTHER,53917,0.0,0.0,0.0
BG413,BG,SFH,97315,97315.0,0.6414075836568438,995607.6909006428
BG414,BG,MFH_HIGH,1748,10586.0,0.1410206881852212,104389.18068082436
BG414,BG,OTHER,52108,0.0,0.0,0.0
BG414,BG,SFH,64481,64481.0,0.8589793118147788,566605.4739283287
BG415,BG,MFH_HIGH,2795,16812.0,0.22346873670778392,143208.266913825
BG415,BG,OTHER,40276,0.0,0.0,0.0
BG415,BG,SFH,58420,58420.0,0.7765312632922161,570824.77078552
BG421,BG,MFH_HIGH,22544,140542.0,0.45711107569513787,1280210.4321160128
BG421,BG,OTHER,118706,0.0,0.0,0.0
BG421,BG,SFH,166915,166915.0,0.5428889243048621,1977972.5465198809
BG422,BG,MFH_HIGH,9052,60850.0,0.4088749722825101,474550.63305778604
BG422,BG,OTHER,80824,0.0,0.0,0.0
BG422,BG,SFH,87973,87973.0,0.5911250277174899,1042296.9421005788
BG423,BG,MFH_HIGH,6225,37406.0,0.29356458954638204,291196.2072707553
BG423,BG,OTHER,63461,0.0,0.0,0.0
BG423,BG,SFH,90014,90014.0,0.7064354104536179,956961.5451593047
BG424,BG,MFH_HIGH,3606,21860.0,0.3379611020067407,192271.92697674967
BG424,BG,OTHER,30493,0.0,0.0,0.0
BG424,BG,SFH,42822,42822.0,0.6620388979932593,508190.43621666136
BG425,BG,MFH_HIGH,2934,23316.0,0.3386492374727669,178964.77940063173
BG425,BG,OTHER,63274,0.0,0.0,0.0
BG425,BG,SFH,45534,45534.0,0.6613507625272331,581705.8581198475
CH011,CH,MFH_HIGH,39696,253142.0,0.7051210985919416,4399815.288098116
CH011,CH,OTHER,116921,0.0,0.0,0.0
CH011,CH,SFH,105863,105863.0,0.2948789014080584,2759081.854288219
CH012,CH,MFH_HIGH,23049,141836.0,0.5272380555875651,1872742.2727582948
CH012,CH,OTHER,70010,0.0,0.0,0.0
CH012,CH,SFH,127181,127181.0,0.4727619444124349,2733325.0344268256
CH013,CH,MFH_HIGH,8897,73990.0,0.6902567355772818,2191475.3014025614
CH013,CH,OTHER,43094,0.0,0.0,0.0
CH013,CH,SFH,33202,33202.0,0.3097432644227181,736016.8939881137
CH021,CH,MFH_HIGH,47354,291194.0,0.6724366864260594,5714989.134757609
CH021,CH,OTHER,203711,0.0,0.0,0.0
CH021,CH,SFH,141849,141849.0,0.3275633135739407,4385137.794830082
CH022,CH,MFH_HIGH,19326,120184.0,0.6471107665137515,1686887.607929391
CH022,CH,OTHER,87821,0.0,0.0,0.0
CH022,CH,SFH,65540,65540.0,0.3528892334862484,1837243.859176436
CH023,CH,MFH_HIGH,12563,76582.0,0.6132103421493029,1325526.9087626433
CH023,CH,OTHER,40401,0.0,0.0,0.0
CH023,CH,SFH,48305,48305.0,0.386789657850697,1469820.124189417
CH024,CH,MFH_HIGH,10213,63042.0,0.7646088538508187,1028371.9063548051
CH024,CH,OTHER,22346,0.0,0.0,0.0
CH024,CH,SFH,19408,19408.0,0.23539114614918133,515251.4655466481
CH025,CH,MFH_HIGH,4601,27746.0,0.6226940167871089,422338.80996663537
CH025,CH,OTHER,16834,0.0,0.0,0.0
CH025,CH,SFH,16812,16812.0,0.37730598321289105,518177.7121405838
CH031,CH,MFH_HIGH,3787,28392.0,0.9059349074664965,1676976.4135476635
CH031,CH,OTHER,4628,0.0,0.0,0.0
CH031,CH,SFH,2948,2948.0,0.09406509253350351,93643.0027179958
CH032,CH,MFH_HIGH,12231,74562.0,0.6676695768972465,1510887.1094176504
CH032,CH,OTHER,25146,0.0,0.0,0.0
CH032,CH,SFH,37113,37113.0,0.3323304231027535,1120377.5344639814
CH033,CH,MFH_HIGH,35391,216154.0,0.6910780169960803,4049982.1359787295
CH033,CH,OTHER,71967,0.0,0.0,0.0
CH033,CH,SFH,96624,96624.0,0.3089219830039197,3162575.1453640587
CH040,CH,MFH_HIGH,73612,465542.0,0.8005936412288305,9376414.580900677
CH040,CH,OTHER,122822,0.0,0.0,0.0
CH040,CH,SFH,115954,115954.0,0.19940635877116952,3422393.584128377
CH051,CH,MFH_HIGH,3856,23262.0,0.5958504098360655,218227.97578862892
CH051,CH,OTHER,14886,0.0,0.0,0.0
CH051,CH,SFH,15778,15778.0,0.4041495901639344,350918.57636831765
CH052,CH,MFH_HIGH,4362,26914.0,0.7227369155992374,550840.7304688676
CH052,CH,OTHER,8755,0.0,0.0,0.0
CH052,CH,SFH,10325,10325.0,0.27726308440076264,311342.34864844085
CH053,CH,MFH_HIGH,5322,32100.0,0.6536346976175932,278186.6340140053
CH053,CH,OTHER,12553,0.0,0.0,0.0
CH053,CH,SFH,17010,17010.0,0.3463653023824068,427296.1769748913
CH054,CH,MFH_HIGH,1389,8334.0,0.48945791977447584,74577.96903226837
CH054,CH,OTHER,7992,0.0,0.0,0.0
CH054,CH,SFH,8693,8693.0,0.5105420802255242,208184.38045563028
CH055,CH,MFH_HIGH,34957,212920.0,0.6567956073786169,2849965.2685945146
CH055,CH,OTHER,101425,0.0,0.0,0.0
CH055,CH,SFH,111260,111260.0,0.3432043926213832,2923176.803892852
CH056,CH,MFH_HIGH,25262,154582.0,0.637136262468057,1707583.1920156546
CH056,CH,OTHER,56036,0.0,0.0,0.0
CH056,CH,SFH,88038,88038.0,0.36286373753194295,1956538.6743884883
CH057,CH,MFH_HIGH,18089,109052.0,0.7063182097865863,1728756.3173209962
CH057,CH,OTHER,36547,0.0,0.0,0.0
CH057,CH,SFH,45343,45343.0,0.2936817902134137,1423731.3302392843
CH061,CH,MFH_HIGH,26002,161248.0,0.7951006400331357,2934374.7530008676
CH061,CH,OTHER,45070,0.0,0.0,0.0
CH061,CH,SFH,41554,41554.0,0.20489935996686423,1368837.4408492276
CH062,CH,MFH_HIGH,2925,17900.0,0.5859438934171332,189571.7809277903
CH062,CH,OTHER,9605,0.0,0.0,0.0
CH062,CH,SFH,12649,12649.0,0.41405610658286685,289466.3090215257
CH063,CH,MFH_HIGH,13072,78992.0,0.7066864678201435,921198.3569940579
CH063,CH,OTHER,31709,0.0,0.0,0.0
CH063,CH,SFH,32786,32786.0,0.2933135321798565,832765.1240604596
CH064,CH,MFH_HIGH,2647,15882.0,0.6488805360352999,227430.79595460772
CH064,CH,OTHER,6203,0.0,0.0,0.0
CH064,CH,SFH,8594,8594.0,0.3511194639647001,255856.9422934148
CH065,CH,MFH_HIGH,3522,21244.0,0.8001807977701608,315474.9104857208
CH065,CH,OTHER,4014,0.0,0.0,0.0
CH065,CH,SFH,5305,5305.0,0.19981920222983918,175289.81525699983
CH066,CH,MFH_HIGH,8629,54378.0,0.8300337337627647,862240.8274902055
CH066,CH,OTHER,15306,0.0,0.0,0.0
CH066,CH,SFH,11135,11135.0,0.16996626623723535,298586.15366173827
