nuts_id,country,building_type,heat_2015_MWh,hp_feasibility,dh_feasibility
BG343,BG,MFH_HIGH,294999.4681588524,0.444,0.797
BG343,BG,OTHER,0.0,0.533,0.399
BG343,BG,SFH,540946.6604447701,0.8,0.299
BG344,BG,MFH_HIGH,635396.0428588369,0.442,0.809
BG344,BG,OTHER,0.0,0.53,0.404
BG344,BG,SFH,1234429.921457709,0.795,0.303
BG411,BG,MFH_HIGH,3169348.0212812545,0.39,0.9
BG411,BG,OTHER,0.0,0.468,0.515
BG411,BG,SFH,972628.9424411384,0.702,0.386
BG412,BG,MFH_HIGH,228360.5219420184,0.471,0.684
BG412,BG,OTHER,0.0,0.565,0.342
BG412,BG,SFH,1303274.5725168756,0.848,0.257
BG413,BG,MFH_HIGH,509252.4094995531,0.446,0.789
BG413,BG,OTHER,0.0,0.535,0.395
BG413,BG,SFH,995607.6909006428,0.803,0.296
BG414,BG,MFH_HIGH,104389.18068082436,0.479,0.65
BG414,BG,OTHER,0.0,0.575,0.325
BG414,BG,SFH,566605.4739283287,0.862,0.244
BG415,BG,MFH_HIGH,143208.266913825,0.466,0.703
BG415,BG,OTHER,0.0,0.56,0.352
BG415,BG,SFH,570824.77078552,0.84,0.264
BG421,BG,MFH_HIGH,1280210.4321160128,0.431,0.853
BG421,BG,OTHER,0.0,0.518,0.426
BG421,BG,SFH,1977972.5465198809,0.777,0.32
BG422,BG,MFH_HIGH,474550.6330577861,0.439,0.822
BG422,BG,OTHER,0.0,0.526,0.411
BG422,BG,SFH,1042296.9421005788,0.79,0.308
BG423,BG,MFH_HIGH,291196.2072707553,0.456,0.748
BG423,BG,OTHER,0.0,0.547,0.374
BG423,BG,SFH,956961.5451593047,0.821,0.28
BG424,BG,MFH_HIGH,192271.92697674967,0.449,0.776
BG424,BG,OTHER,0.0,0.539,0.388
BG424,BG,SFH,508190.43621666136,0.809,0.291
BG425,BG,MFH_HIGH,178964.77940063173,0.449,0.777
BG425,BG,OTHER,0.0,0.539,0.388
BG425,BG,SFH,581705.8581198475,0.809,0.291
CH011,CH,MFH_HIGH,4399815.288098116,0.394,0.9
CH011,CH,OTHER,0.0,0.473,0.506
CH011,CH,SFH,2759081.854288219,0.71,0.379
CH012,CH,MFH_HIGH,1872742.2727582948,0.421,0.897
CH012,CH,OTHER,0.0,0.505,0.449
CH012,CH,SFH,2733325.0344268256,0.758,0.337
CH013,CH,MFH_HIGH,2191475.3014025614,0.396,0.9
CH013,CH,OTHER,0.0,0.476,0.501
CH013,CH,SFH,736016.8939881137,0.714,0.376
CH021,CH,MFH_HIGH,5714989.134757609,0.399,0.9
CH021,CH,OTHER,0.0,0.479,0.495
CH021,CH,SFH,4385137.794830082,0.718,0.371
CH022,CH,MFH_HIGH,1686887.607929391,0.403,0.9
CH022,CH,OTHER,0.0,0.484,0.487
CH022,CH,SFH,1837243.859176436,0.725,0.365
CH023,CH,MFH_HIGH,1325526.908762643,0.408,0.9
CH023,CH,OTHER,0.0,0.49,0.476
CH023,CH,SFH,1469820.124189417,0.734,0.357
CH024,CH,MFH_HIGH,1028371.9063548052,0.385,0.9
CH024,CH,OTHER,0.0,0.462,0.525
CH024,CH,SFH,515251.4655466481,0.694,0.394
CH025,CH,MFH_HIGH,422338.80996663537,0.407,0.9
CH025,CH,OTHER,0.0,0.488,0.479
CH025,CH,SFH,518177.7121405838,0.732,0.359
CH031,CH,MFH_HIGH,1676976.4135476635,0.364,0.9
CH031,CH,OTHER,0.0,0.437,0.57
CH031,CH,SFH,93643.0027179958,0.655,0.427
CH032,CH,MFH_HIGH,1510887.1094176504,0.4,0.9
CH032,CH,OTHER,0.0,0.48,0.494
CH032,CH,SFH,1120377.5344639814,0.72,0.37
CH033,CH,MFH_HIGH,4049982.1359787295,0.396,0.9
CH033,CH,OTHER,0.0,0.476,0.501
CH033,CH,SFH,3162575.1453640587,0.713,0.376
CH040,CH,MFH_HIGH,9376414.580900677,0.38,0.9
CH040,CH,OTHER,0.0,0.456,0.536
CH040,CH,SFH,3422393.584128377,0.684,0.402
CH051,CH,MFH_HIGH,218227.9757886289,0.411,0.9
CH051,CH,OTHER,0.0,0.493,0.471
CH051,CH,SFH,350918.57636831765,0.739,0.353
CH052,CH,MFH_HIGH,550840.7304688676,0.392,0.9
CH052,CH,OTHER,0.0,0.47,0.511
CH052,CH,SFH,311342.34864844085,0.705,0.383
CH053,CH,MFH_HIGH,278186.6340140053,0.402,0.9
CH053,CH,OTHER,0.0,0.482,0.489
CH053,CH,SFH,427296.1769748913,0.724,0.367
CH054,CH,MFH_HIGH,74577.96903226837,0.427,0.873
CH054,CH,OTHER,0.0,0.512,0.437
CH054,CH,SFH,208184.38045563028,0.768,0.327
CH055,CH,MFH_HIGH,2849965.2685945146,0.401,0.9
CH055,CH,OTHER,0.0,0.482,0.49
CH055,CH,SFH,2923176.803892852,0.723,0.368
CH056,CH,MFH_HIGH,1707583.1920156546,0.404,0.9
CH056,CH,OTHER,0.0,0.485,0.484
CH056,CH,SFH,1956538.6743884883,0.728,0.363
CH057,CH,MFH_HIGH,1728756.3173209962,0.394,0.9
CH057,CH,OTHER,0.0,0.473,0.506
CH057,CH,SFH,1423731.3302392843,0.709,0.38
CH061,CH,MFH_HIGH,2934374.753000868,0.381,0.9
CH061,CH,OTHER,0.0,0.457,0.534
CH061,CH,SFH,1368837.4408492276,0.685,0.401
CH062,CH,MFH_HIGH,189571.7809277903,0.412,0.9
CH062,CH,OTHER,0.0,0.495,0.468
CH062,CH,SFH,289466.3090215257,0.742,0.351
CH063,CH,MFH_HIGH,921198.356994058,0.394,0.9
CH063,CH,OTHER,0.0,0.473,0.506
CH063,CH,SFH,832765.1240604596,0.709,0.38
CH064,CH,MFH_HIGH,227430.7959546077,0.403,0.9
CH064,CH,OTHER,0.0,0.483,0.488
CH064,CH,SFH,255856.9422934148,0.725,0.366
CH065,CH,MFH_HIGH,315474.9104857208,0.38,0.9
CH065,CH,OTHER,0.0,0.456,0.536
CH065,CH,SFH,175289.81525699983,0.684,0.402
CH066,CH,MFH_HIGH,862240.8274902055,0.375,0.9
CH066,CH,OTHER,0.0,0.451,0.546
CH066,CH,SFH,298586.15366173827,0.676,0.409
CH070,CH,MFH_HIGH,2562562.913741995,0.418,0.9
CH070,CH,OTHER,0.0,0.502,0.454
CH070,CH,SFH,2517391.048462939,0.753,0.341
CY000,CY,MFH_HIGH,2184563.8279518182,0.395,0.9
CY000,CY,OTHER,0.0,0.474,0.504
CY000,CY,SFH,1069787.806394525,0.711,0.378
CZ010,CZ,MFH_HIGH,6380900.118944585,0.379,0.9
CZ010,CZ,OTHER,0.0,0.455,0.538
CZ010,CZ,SFH,1267174.4926778118,0.682,0.404
CZ020,CZ,MFH_HIGH,3143087.6544320434,0.445,0.796
CZ020,CZ,OTHER,0.0,0.534,0.398
CZ020,CZ,SFH,7869691.260851404,0.8,0.299
CZ031,CZ,MFH_HIGH,2617179.622260488,0.419,0.9
CZ031,CZ,OTHER,0.0,0.503,0.453
CZ031,CZ,SFH,3437269.304659473,0.754,0.34
CZ032,CZ,MFH_HIGH,1924074.303140769,0.429,0.862
CZ032,CZ,OTHER,0.0,0.515,0.431
CZ032,CZ,SFH,3000169.334452469,0.773,0.323
CZ041,CZ,MFH_HIGH,1090762.7536271834,0.414,0.9
CZ041,CZ,OTHER,0.0,0.497,0.463
CZ041,CZ,SFH,827268.3317702372,0.745,0.347
CZ042,CZ,MFH_HIGH,2580419.1632233057,0.421,0.897
CZ042,CZ,OTHER,0.0,0.505,0.449
CZ042,CZ,SFH,2531446.136675967,0.758,0.336
CZ051,CZ,MFH_HIGH,1402988.3041514629,0.426,0.875
CZ051,CZ,OTHER,0.0,0.511,0.438
CZ051,CZ,SFH,1865984.554457344,0.767,0.328
CZ052,CZ,MFH_HIGH,1642206.2285522523,0.433,0.846
CZ052,CZ,OTHER,0.0,0.52,0.423
CZ052,CZ,SFH,2655346.957708037,0.779,0.317
CZ053,CZ,MFH_HIGH,1697199.6930158478,0.428,0.867
CZ053,CZ,OTHER,0.0,0.514,0.433
CZ053,CZ,SFH,2497081.821403371,0.771,0.325
CZ063,CZ,MFH_HIGH,1556030.9655453048,0.425,0.881
CZ063,CZ,OTHER,0.0,0.51,0.44
CZ063,CZ,SFH,2639201.507245035,0.765,0.33
CZ064,CZ,MFH_HIGH,4142190.91510229,0.415,0.9
CZ064,CZ,OTHER,0.0,0.498,0.462
CZ064,CZ,SFH,5020834.391686892,0.747,0.346
CZ071,CZ,MFH_HIGH,2246075.730007602,0.418,0.9
CZ071,CZ,OTHER,0.0,0.502,0.455
CZ071,CZ,SFH,2599862.795469395,0.753,0.341
CZ072,CZ,MFH_HIGH,1420170.4840872218,0.436,0.832
CZ072,CZ,OTHER,0.0,0.523,0.416
CZ072,CZ,SFH,2672605.9090324384,0.785,0.312
CZ080,CZ,MFH_HIGH,3351836.328538319,0.418,0.9
CZ080,CZ,OTHER,0.0,0.502,0.454
CZ080,CZ,SFH,3815967.589789628,0.753,0.341
